"",BBK01.OEAA33T,BBK01.OEAA33T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:30,
2002-01,7.605,
2002-04,7.659,
2002-07,7.721,
2002-10,7.815,
2003-01,7.714,
2003-04,7.823,
2003-07,7.851,
2003-10,7.895,
2004-01,7.963,
2004-04,7.987,
2004-07,8.013,
2004-10,8.032,
2005-01,8.685,
2005-04,8.705,
2005-07,8.727,
2005-10,8.696,
2006-01,8.616,
2006-04,8.685,
2006-07,8.778,
2006-10,8.845,
2007-01,8.825,
2007-04,8.908,
2007-07,8.874,
2007-10,8.825,
2008-01,8.707,
2008-04,8.666,
2008-07,8.715,
2008-10,8.688,
2009-01,8.585,
2009-04,8.832,
2009-07,8.814,
2009-10,8.821,
2010-01,8.742,
2010-04,8.793,
2010-07,9.026,
2010-10,8.916,
2011-01,8.979,
2011-04,8.971,
2011-07,9.051,
2011-10,9.044,
2012-01,9.032,
2012-04,9.096,
2012-07,9.139,
2012-10,9.159,
2013-01,9.140,
2013-04,9.185,
2013-07,9.280,
2013-10,9.240,
2014-01,9.245,
2014-04,9.321,
2014-07,9.452,
