"",BBK01.OEYM10G,BBK01.OEYM10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:26,
2002-01,0.687,
2002-04,0.670,
2002-07,0.638,
2002-10,0.580,
2003-01,0.531,
2003-04,0.509,
2003-07,0.488,
2003-10,0.444,
2004-01,0.403,
2004-04,0.393,
2004-07,0.370,
2004-10,0.350,
2005-01,0.283,
2005-04,0.277,
2005-07,0.247,
2005-10,0.237,
2006-01,0.177,
2006-04,0.172,
2006-07,0.165,
2006-10,0.161,
2007-01,0.151,
2007-04,0.147,
2007-07,0.142,
2007-10,0.142,
2008-01,0.137,
2008-04,0.135,
2008-07,0.131,
2008-10,0.127,
2009-01,0.124,
2009-04,0.124,
2009-07,0.120,
2009-10,0.104,
2010-01,0.097,
2010-04,0.096,
2010-07,0.092,
2010-10,0.092,
2011-01,0.088,
2011-04,0.088,
2011-07,0.084,
2011-10,0.084,
2012-01,0.079,
2012-04,0.079,
2012-07,0.076,
2012-10,0.075,
2013-01,0.072,
2013-04,0.072,
2013-07,0.067,
2013-10,0.068,
2014-01,0.064,
2014-04,0.064,
2014-07,0.060,
