"",BBK01.OEAA38O,BBK01.OEAA38O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:39,
2002-01,2.963,
2002-04,2.924,
2002-07,2.876,
2002-10,2.810,
2003-01,2.734,
2003-04,2.692,
2003-07,2.649,
2003-10,2.578,
2004-01,2.534,
2004-04,1.997,
2004-07,1.792,
2004-10,0.973,
2005-01,2.748,
2005-04,2.737,
2005-07,2.691,
2005-10,2.634,
2006-01,2.585,
2006-04,2.544,
2006-07,2.599,
2006-10,2.565,
2007-01,2.550,
2007-04,2.541,
2007-07,2.516,
2007-10,2.462,
2008-01,2.398,
2008-04,2.415,
2008-07,2.385,
2008-10,2.326,
2009-01,2.261,
2009-04,2.284,
2009-07,2.289,
2009-10,2.276,
2010-01,2.287,
2010-04,2.381,
2010-07,2.430,
2010-10,2.446,
2011-01,2.474,
2011-04,2.536,
2011-07,2.628,
2011-10,2.629,
2012-01,2.878,
2012-04,3.037,
2012-07,3.013,
2012-10,2.927,
2013-01,2.850,
2013-04,2.802,
2013-07,2.762,
2013-10,2.490,
2014-01,2.421,
2014-04,2.390,
2014-07,2.420,
