"",BBK01.CEBT0N,BBK01.CEBT0N_FLAGS
"",Savings deposits debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:45,
1991-01,5.1,
1991-04,5.2,
1991-07,5.3,
1991-10,5.5,
1992-01,5.7,
1992-04,5.8,
1992-07,6.2,
1992-10,7.3,
1993-01,7.9,
1993-04,8.2,
1993-07,8.6,
1993-10,9.1,
1994-01,9.3,
1994-04,9.4,
1994-07,9.5,
1994-10,9.7,
1995-01,9.8,
1995-04,10.0,
1995-07,10.3,
1995-10,10.8,
1996-01,11.2,
1996-04,11.4,
1996-07,11.4,
1996-10,11.6,
1997-01,11.8,
1997-04,11.7,
1997-07,11.7,
1997-10,11.7,
1998-01,11.8,
1998-04,11.8,
1998-07,11.7,
1998-10,11.9,
1999-01,11.9,
1999-04,11.8,
1999-07,11.8,
1999-10,11.9,
2000-01,11.9,
2000-04,11.8,
2000-07,11.8,
2000-10,11.7,
2001-01,11.8,
2001-04,11.8,
2001-07,11.9,
2001-10,12.0,
2002-01,11.8,
2002-04,11.1,
2002-07,11.0,
2002-10,10.9,
2003-01,10.8,
2003-04,10.7,
2003-07,10.4,
2003-10,10.1,
2004-01,10.0,
2004-04,9.8,
2004-07,9.8,
2004-10,9.6,
2005-01,9.5,
2005-04,8.8,
2005-07,8.6,
2005-10,8.5,
2006-01,8.5,
2006-04,8.5,
2006-07,8.4,
2006-10,8.3,
2007-01,8.4,
2007-04,8.4,
2007-07,8.4,
2007-10,8.4,
2008-01,8.5,
2008-04,8.5,
2008-07,8.5,
2008-10,8.9,
2009-01,9.2,
2009-04,9.4,
2009-07,9.6,
2009-10,9.6,
2010-01,9.7,
2010-04,9.8,
2010-07,9.8,
2010-10,9.9,
2011-01,10.0,
2011-04,10.0,
2011-07,10.0,
2011-10,10.2,
2012-01,10.5,
2012-04,10.7,
2012-07,10.8,
2012-10,10.6,
2013-01,10.3,
2013-04,10.2,
2013-07,10.0,
2013-10,9.9,
2014-01,9.7,
