"",BBK01.CEBR0N,BBK01.CEBR0N_FLAGS
"",longer-term time deposits debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:45,
1991-01,78.6,
1991-04,77.7,
1991-07,75.9,
1991-10,76.2,
1992-01,80.3,
1992-04,82.4,
1992-07,83.0,
1992-10,87.4,
1993-01,89.4,
1993-04,93.9,
1993-07,96.3,
1993-10,106.3,
1994-01,112.2,
1994-04,114.7,
1994-07,115.6,
1994-10,122.2,
1995-01,124.2,
1995-04,131.4,
1995-07,136.1,
1995-10,142.6,
1996-01,151.3,
1996-04,157.9,
1996-07,160.7,
1996-10,167.3,
1997-01,179.2,
1997-04,188.5,
1997-07,191.8,
1997-10,195.3,
1998-01,207.1,
1998-04,214.6,
1998-07,213.8,
1998-10,217.8,
1999-01,237.4,
1999-04,240.4,
1999-07,244.2,
1999-10,248.3,
2000-01,261.8,
2000-04,262.4,
2000-07,272.9,
2000-10,270.6,
2001-01,279.0,
2001-04,295.4,
2001-07,293.4,
2001-10,282.1,
2002-01,286.6,
2002-04,278.8,
2002-07,271.8,
2002-10,272.0,
2003-01,266.5,
2003-04,264.0,
2003-07,258.3,
2003-10,256.3,
2004-01,248.7,
2004-04,250.2,
2004-07,254.8,
2004-10,243.1,
2005-01,249.6,
2005-04,255.6,
2005-07,252.7,
2005-10,243.3,
2006-01,236.3,
2006-04,233.2,
2006-07,236.3,
2006-10,219.7,
2007-01,214.9,
2007-04,214.8,
2007-07,209.4,
2007-10,193.8,
2008-01,184.6,
2008-04,179.0,
2008-07,187.9,
2008-10,189.7,
2009-01,190.2,
2009-04,185.0,
2009-07,178.0,
2009-10,161.8,
2010-01,167.4,
2010-04,167.9,
2010-07,164.4,
2010-10,165.1,
2011-01,158.4,
2011-04,155.8,
2011-07,161.1,
2011-10,160.4,
2012-01,161.4,
2012-04,158.1,
2012-07,156.8,
2012-10,148.8,
2013-01,140.0,
2013-04,136.3,
2013-07,131.1,
2013-10,129.9,
2014-01,124.5,
