"",BBK01.OEGO01I,BBK01.OEGO01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:23,
2002-01,7.190,
2002-04,7.186,
2002-07,7.047,
2002-10,6.977,
2003-01,6.953,
2003-04,7.123,
2003-07,8.110,
2003-10,7.977,
2004-01,7.973,
2004-04,7.908,
2004-07,7.803,
2004-10,7.671,
2005-01,7.759,
2005-04,7.756,
2005-07,7.662,
2005-10,7.584,
2006-01,7.610,
2006-04,7.551,
2006-07,7.488,
2006-10,6.860,
2007-01,6.917,
2007-04,6.890,
2007-07,6.867,
2007-10,6.904,
2008-01,6.978,
2008-04,6.921,
2008-07,6.859,
2008-10,6.850,
2009-01,7.431,
2009-04,7.346,
2009-07,6.910,
2009-10,6.443,
2010-01,6.135,
2010-04,5.916,
2010-07,5.874,
2010-10,5.848,
2011-01,6.042,
2011-04,5.997,
2011-07,5.862,
2011-10,5.778,
2012-01,5.821,
2012-04,5.825,
2012-07,5.816,
2012-10,5.707,
2013-01,5.780,
2013-04,5.738,
2013-07,5.707,
2013-10,5.694,
2014-01,5.644,
2014-04,5.599,
2014-07,5.573,
