"",BBK01.OEYM01U,BBK01.OEYM01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:36,
2002-01,0.033,
2002-04,0.042,
2002-07,0.052,
2002-10,0.024,
2003-01,0.024,
2003-04,0.027,
2003-07,0.024,
2003-10,0.015,
2004-01,0.028,
2004-04,0.016,
2004-07,0.042,
2004-10,0.033,
2005-01,0.028,
2005-04,0.026,
2005-07,0.023,
2005-10,0.033,
2006-01,0.031,
2006-04,0.028,
2006-07,0.024,
2006-10,0.031,
2007-01,0.038,
2007-04,0.040,
2007-07,0.055,
2007-10,0.050,
2008-01,0.047,
2008-04,0.044,
2008-07,0.043,
2008-10,0.058,
2009-01,0.060,
2009-04,0.056,
2009-07,0.046,
2009-10,0.055,
2010-01,0.046,
2010-04,0.047,
2010-07,0.073,
2010-10,0.111,
2011-01,0.078,
2011-04,0.087,
2011-07,0.096,
2011-10,0.127,
2012-01,0.114,
2012-04,0.145,
2012-07,0.161,
2012-10,0.136,
2013-01,0.156,
2013-04,0.160,
2013-07,0.167,
2013-10,0.189,
2014-01,0.214,
2014-04,0.212,
2014-07,0.218,
