"",BBK01.OEAA27V,BBK01.OEAA27V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:12,
2002-01,1.399,
2002-04,1.452,
2002-07,1.475,
2002-10,1.449,
2003-01,1.413,
2003-04,1.416,
2003-07,1.397,
2003-10,1.335,
2004-01,1.252,
2004-04,1.220,
2004-07,1.215,
2004-10,1.154,
2005-01,1.170,
2005-04,1.142,
2005-07,1.063,
2005-10,1.076,
2006-01,1.058,
2006-04,1.019,
2006-07,0.938,
2006-10,0.900,
2007-01,0.854,
2007-04,0.846,
2007-07,0.763,
2007-10,0.812,
2008-01,0.758,
2008-04,0.732,
2008-07,0.710,
2008-10,0.701,
2009-01,0.740,
2009-04,0.726,
2009-07,0.704,
2009-10,0.696,
2010-01,0.646,
2010-04,0.632,
2010-07,0.615,
2010-10,0.590,
2011-01,0.614,
2011-04,0.617,
2011-07,0.593,
2011-10,0.562,
2012-01,0.564,
2012-04,0.580,
2012-07,0.555,
2012-10,0.556,
2013-01,0.561,
2013-04,0.553,
2013-07,0.527,
2013-10,0.512,
2014-01,0.515,
2014-04,0.517,
2014-07,0.502,
