"",BBK01.CEFEN1E,BBK01.CEFEN1E_FLAGS
"",short-term loans  debtor: Rest of the world                  creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:51,
1999-01,32.9,
1999-04,37.3,
1999-07,42.1,
1999-10,38.7,
2000-01,35.4,
2000-04,37.5,
2000-07,47.4,
2000-10,50.2,
2001-01,56.3,
2001-04,57.6,
2001-07,55.2,
2001-10,60.1,
2002-01,55.8,
2002-04,51.1,
2002-07,51.4,
2002-10,47.9,
2003-01,53.9,
2003-04,54.5,
2003-07,58.4,
2003-10,56.0,
2004-01,55.9,
2004-04,56.8,
2004-07,61.6,
2004-10,59.5,
2005-01,63.0,
2005-04,68.3,
2005-07,67.4,
2005-10,65.9,
2006-01,67.6,
2006-04,73.9,
2006-07,78.3,
2006-10,75.7,
2007-01,83.2,
2007-04,83.1,
2007-07,85.7,
2007-10,82.2,
2008-01,81.6,
2008-04,89.2,
2008-07,85.2,
2008-10,80.6,
2009-01,87.2,
2009-04,84.9,
2009-07,83.6,
2009-10,80.2,
2010-01,87.5,
2010-04,91.6,
2010-07,94.9,
2010-10,90.9,
2011-01,96.4,
2011-04,95.1,
2011-07,94.0,
2011-10,95.5,
2012-01,98.7,
2012-04,102.5,
2012-07,96.5,
2012-10,88.5,
2013-01,93.7,
2013-04,92.9,
2013-07,94.2,
2013-10,92.6,
2014-01,96.6,
2014-04,95.2,
2014-07,104.5,
