"",BBDE1.M.DE.W.AEB5.A2P340000.F.V.I10.A,BBDE1.M.DE.W.AEB5.A2P340000.F.V.I10.A_FLAGS
2006-10,95.5,
2006-11,100.0,
2006-12,84.3,
2007-01,103.3,
2007-02,117.1,
2007-03,111.6,
2007-04,94.4,
2007-05,98.9,
2007-06,104.4,
2007-07,113.4,
2007-08,113.5,
2007-09,106.9,
2007-10,103.8,
2007-11,103.6,
2007-12,95.0,
2008-01,107.4,
2008-02,120.5,
2008-03,110.6,
2008-04,96.5,
2008-05,96.2,
2008-06,97.2,
2008-07,111.3,
2008-08,106.6,
2008-09,102.7,
2008-10,102.0,
2008-11,102.1,
2008-12,87.5,
2009-01,97.1,
2009-02,103.9,
2009-03,99.3,
2009-04,88.4,
2009-05,90.5,
2009-06,91.9,
2009-07,102.3,
2009-08,94.6,
2009-09,94.9,
2009-10,98.8,
2009-11,100.4,
2009-12,85.2,
2010-01,100.3,
2010-02,101.9,
2010-03,106.7,
2010-04,90.8,
2010-05,95.7,
2010-06,99.1,
2010-07,105.8,
2010-08,102.9,
2010-09,99.0,
2010-10,102.0,
2010-11,99.0,
2010-12,92.2,
2011-01,104.6,
2011-02,117.1,
2011-03,111.3,
2011-04,100.7,
2011-05,99.4,
2011-06,99.2,
2011-07,117.8,
2011-08,104.2,
2011-09,100.6,
2011-10,104.1,
2011-11,104.8,
2011-12,98.5,
2012-01,108.0,
2012-02,110.6,
2012-03,120.0,
2012-04,96.6,
2012-05,106.4,
2012-06,109.8,
2012-07,120.7,
2012-08,114.9,
2012-09,111.5,
2012-10,116.4,
2012-11,113.9,
2012-12,107.0,
2013-01,107.8,
2013-02,115.2,
2013-03,113.3,
2013-04,110.9,
2013-05,107.9,
2013-06,104.8,
2013-07,123.8,
2013-08,110.9,
2013-09,120.7,
2013-10,122.5,
2013-11,124.4,
2013-12,106.7,
2014-01,126.0,
2014-02,132.4,
2014-03,116.2,
2014-04,114.9,
2014-05,118.8,
2014-06,119.4,
2014-07,126.8,
2014-08,125.3,
2014-09,123.9,
2014-10,126.6,
2014-11,129.4,
2014-12,107.4,Provisional value
