"",BBK01.WZ3496,BBK01.WZ3496_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 28.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:27,
2000-01,6.38,
2000-02,6.15,
2000-03,5.91,
2000-04,5.79,
2000-05,5.55,
2000-06,5.61,
2000-07,5.52,
2000-08,5.57,
2000-09,5.86,
2000-10,5.84,
2000-11,5.70,
2000-12,5.73,
2001-01,5.73,
2001-02,5.72,
2001-03,5.73,
2001-04,5.87,
2001-05,6.05,
2001-06,5.96,
2001-07,5.78,
2001-08,5.81,
2001-09,5.97,
2001-10,5.56,
2001-11,5.43,
2001-12,5.60,
2002-01,5.47,
2002-02,5.58,
2002-03,5.82,
2002-04,5.81,
2002-05,5.72,
2002-06,5.52,
2002-07,5.51,
2002-08,5.31,
2002-09,5.26,
2002-10,5.52,
2002-11,5.41,
2002-12,5.22,
2003-01,5.05,
2003-02,5.15,
2003-03,5.28,
2003-04,5.28,
2003-05,4.93,
2003-06,5.15,
2003-07,5.32,
2003-08,5.22,
2003-09,5.22,
2003-10,5.37,
2003-11,5.35,
2003-12,5.24,
2004-01,5.30,
2004-02,5.19,
2004-03,5.14,
2004-04,5.32,
2004-05,5.33,
2004-06,5.28,
2004-07,5.23,
2004-08,5.10,
2004-09,4.97,
2004-10,4.86,
2004-11,4.71,
2004-12,4.62,
2005-01,4.28,
2005-02,4.38,
2005-03,4.36,
2005-04,4.23,
2005-05,4.09,
2005-06,3.92,
2005-07,3.92,
2005-08,3.80,
2005-09,3.85,
2005-10,4.01,
2005-11,4.01,
2005-12,3.79,
2006-01,3.90,
2006-02,3.87,
2006-03,4.10,
2006-04,4.34,
2006-05,4.38,
2006-06,4.46,
2006-07,4.33,
2006-08,4.16,
2006-09,3.94,
2006-10,3.96,
2006-11,3.94,
2006-12,4.12,
2007-01,4.28,
2007-02,4.16,
2007-03,4.33,
2007-04,4.47,
2007-05,4.62,
2007-06,4.78,
2007-07,4.59,
2007-08,4.70,
2007-09,4.77,
2007-10,4.65,
2007-11,4.75,
2007-12,4.78,
2008-01,4.78,
2008-02,4.80,
2008-03,4.91,
2008-04,4.91,
2008-05,5.07,
2008-06,5.07,
2008-07,4.85,
2008-08,4.65,
2008-09,4.87,
2008-10,4.49,
2008-11,3.88,
2008-12,3.81,
2009-01,4.09,
2009-02,4.07,
2009-03,4.23,
2009-04,4.19,
2009-05,4.68,
2009-06,4.55,
2009-07,4.36,
2009-08,4.31,
2009-09,4.24,
2009-10,4.31,
2009-11,4.24,
2009-12,4.35,
2010-01,4.17,
2010-02,4.10,
2010-03,4.03,
2010-04,3.89,
2010-05,3.55,
2010-06,3.47,
2010-07,3.55,
2010-08,2.76,
2010-09,3.02,
2010-10,3.15,
2010-11,3.26,
2010-12,3.55,
2011-01,3.71,
2011-02,3.71,
2011-03,3.94,
2011-04,3.91,
2011-05,3.73,
2011-06,3.96,
2011-07,3.57,
2011-08,3.34,
2011-09,2.87,
2011-10,3.07,
2011-11,3.14,
2011-12,2.50,
2012-01,2.67,
2012-02,2.59,
2012-03,2.63,
2012-04,2.57,
2012-05,1.96,
2012-06,2.48,
2012-07,2.35,
2012-08,2.26,
2012-09,2.38,
2012-10,2.47,
2012-11,2.40,
2012-12,2.25,
2013-01,2.49,
2013-02,2.44,
2013-03,2.33,
2013-04,2.23,
2013-05,2.48,
2013-06,2.60,
2013-07,2.61,
2013-08,2.77,
2013-09,2.73,
2013-10,2.77,
2013-11,2.78,
2013-12,2.92,
2014-01,2.62,
2014-02,2.64,
2014-03,2.61,
2014-04,2.55,
2014-05,2.42,
2014-06,2.35,
2014-07,2.21,
2014-08,1.90,
2014-09,2.04,
2014-10,1.92,
2014-11,1.76,
2014-12,1.55,
2015-01,1.07,
