"",BBK01.TQ7036,BBK01.TQ7036_FLAGS
"",Market liquidity - Average daily turnover ratio in the securities market                                  FSI-I036,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:39,
2005-10,0.20,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,0.17,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,0.15,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,0.14,
2009-01,0.16,
2009-04,0.14,
2009-07,0.12,
2009-10,0.10,
2010-01,0.10,
2010-04,0.10,
2010-07,0.07,
2010-10,0.10,
2011-01,0.10,
2011-04,0.10,
2011-07,0.02,
2011-10,0.02,
2012-01,0.02,
2012-04,0.02,
2012-07,0.02,
2012-10,0.01,
2013-01,0.02,
2013-04,0.02,
2013-07,0.01,
2013-10,0.01,
2014-01,0.01,
2014-04,0.01,
2014-07,0.01,
