"",BBK01.OEAE27S,BBK01.OEAE27S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:57,
2002-01,0.043,
2002-04,0.045,
2002-07,0.046,
2002-10,0.043,
2003-01,0.039,
2003-04,0.036,
2003-07,0.033,
2003-10,0.032,
2004-01,0.032,
2004-04,0.035,
2004-07,0.038,
2004-10,0.032,
2005-01,0.032,
2005-04,0.032,
2005-07,0.027,
2005-10,0.038,
2006-01,0.034,
2006-04,0.036,
2006-07,0.034,
2006-10,0.034,
2007-01,0.034,
2007-04,0.034,
2007-07,0.034,
2007-10,0.044,
2008-01,0.044,
2008-04,0.042,
2008-07,0.041,
2008-10,0.041,
2009-01,0.048,
2009-04,0.040,
2009-07,0.046,
2009-10,0.067,
2010-01,0.060,
2010-04,0.059,
2010-07,0.059,
2010-10,0.045,
2011-01,0.040,
2011-04,0.039,
2011-07,0.040,
2011-10,0.043,
2012-01,0.037,
2012-04,0.037,
2012-07,0.029,
2012-10,0.027,
2013-01,0.028,
2013-04,0.028,
2013-07,0.027,
2013-10,0.016,
2014-01,0.016,
2014-04,0.015,
2014-07,0.013,
