"",BBK01.OEAC45T,BBK01.OEAC45T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:24,
2002-01,0.058,
2002-04,0.058,
2002-07,0.057,
2002-10,0.053,
2003-01,0.050,
2003-04,0.048,
2003-07,0.047,
2003-10,0.046,
2004-01,0.043,
2004-04,0.040,
2004-07,0.041,
2004-10,0.038,
2005-01,0.038,
2005-04,0.036,
2005-07,0.034,
2005-10,0.034,
2006-01,0.033,
2006-04,0.032,
2006-07,0.033,
2006-10,0.032,
2007-01,0.035,
2007-04,0.036,
2007-07,0.033,
2007-10,0.033,
2008-01,0.034,
2008-04,0.033,
2008-07,0.033,
2008-10,0.036,
2009-01,0.035,
2009-04,0.038,
2009-07,0.034,
2009-10,0.032,
2010-01,0.029,
2010-04,0.027,
2010-07,0.029,
2010-10,0.029,
2011-01,0.034,
2011-04,0.036,
2011-07,0.037,
2011-10,0.035,
2012-01,0.035,
2012-04,0.035,
2012-07,0.037,
2012-10,0.038,
2013-01,0.037,
2013-04,0.035,
2013-07,0.037,
2013-10,0.038,
2014-01,0.036,
2014-04,0.035,
2014-07,0.034,
