"",BBK01.OEHK04Q,BBK01.OEHK04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:46,
2002-01,0.401,
2002-04,0.360,
2002-07,0.342,
2002-10,0.338,
2003-01,0.327,
2003-04,0.332,
2003-07,0.319,
2003-10,0.290,
2004-01,0.249,
2004-04,0.222,
2004-07,0.212,
2004-10,0.209,
2005-01,0.195,
2005-04,0.175,
2005-07,0.172,
2005-10,0.166,
2006-01,0.189,
2006-04,0.200,
2006-07,0.249,
2006-10,0.296,
2007-01,0.310,
2007-04,0.320,
2007-07,0.344,
2007-10,0.391,
2008-01,0.423,
2008-04,0.441,
2008-07,0.512,
2008-10,0.506,
2009-01,0.191,
2009-04,0.135,
2009-07,0.095,
2009-10,0.075,
2010-01,0.056,
2010-04,0.048,
2010-07,0.046,
2010-10,0.045,
2011-01,0.036,
2011-04,0.048,
2011-07,0.053,
2011-10,0.052,
2012-01,0.044,
2012-04,0.034,
2012-07,0.029,
2012-10,0.024,
2013-01,0.025,
2013-04,0.020,
2013-07,0.018,
2013-10,0.023,
2014-01,0.018,
2014-04,0.018,
2014-07,0.017,
