"",BBK01.OELB02S,BBK01.OELB02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:19,
2002-01,0.405,
2002-04,0.405,
2002-07,0.413,
2002-10,0.382,
2003-01,0.390,
2003-04,0.396,
2003-07,0.383,
2003-10,0.348,
2004-01,0.351,
2004-04,0.368,
2004-07,0.355,
2004-10,0.309,
2005-01,0.319,
2005-04,0.312,
2005-07,0.317,
2005-10,0.281,
2006-01,0.279,
2006-04,0.285,
2006-07,0.275,
2006-10,0.245,
2007-01,0.251,
2007-04,0.254,
2007-07,0.258,
2007-10,0.223,
2008-01,0.228,
2008-04,0.251,
2008-07,0.244,
2008-10,0.218,
2009-01,0.235,
2009-04,0.246,
2009-07,0.254,
2009-10,0.240,
2010-01,0.261,
2010-04,0.269,
2010-07,0.256,
2010-10,0.230,
2011-01,0.248,
2011-04,0.261,
2011-07,0.253,
2011-10,0.224,
2012-01,0.256,
2012-04,0.263,
2012-07,0.255,
2012-10,0.221,
2013-01,0.248,
2013-04,0.266,
2013-07,0.261,
2013-10,0.225,
2014-01,0.243,
2014-04,0.245,
2014-07,0.245,
