"",BBK01.OEAB19R,BBK01.OEAB19R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:22,
2002-01,0.279,
2002-04,0.273,
2002-07,0.272,
2002-10,0.290,
2003-01,0.285,
2003-04,0.296,
2003-07,0.290,
2003-10,0.282,
2004-01,0.278,
2004-04,0.275,
2004-07,0.276,
2004-10,0.275,
2005-01,0.271,
2005-04,0.274,
2005-07,0.271,
2005-10,0.268,
2006-01,0.268,
2006-04,0.272,
2006-07,0.276,
2006-10,0.275,
2007-01,0.272,
2007-04,0.266,
2007-07,0.259,
2007-10,0.249,
2008-01,0.243,
2008-04,0.237,
2008-07,0.238,
2008-10,0.233,
2009-01,0.231,
2009-04,0.236,
2009-07,0.234,
2009-10,0.227,
2010-01,0.223,
2010-04,0.232,
2010-07,0.231,
2010-10,0.222,
2011-01,0.221,
2011-04,0.224,
2011-07,0.223,
2011-10,0.216,
2012-01,0.215,
2012-04,0.219,
2012-07,0.232,
2012-10,0.232,
2013-01,0.233,
2013-04,0.237,
2013-07,0.243,
2013-10,0.230,
2014-01,0.224,
2014-04,0.223,
2014-07,0.227,
