"",BBNZ1.Q.DE.Y.K.0106.A,BBNZ1.Q.DE.Y.K.0106.A_FLAGS
"",Germany / National accounts / Use of GDP / Government consumption / Contribution of growth to GDP / Calendar and seasonally adjusted,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:54,
1991-01,.,No value available
1991-04,0.3,
1991-07,0.5,
1991-10,0.1,
1992-01,0.4,
1992-04,0.2,
1992-07,0.2,
1992-10,0.0,
1993-01,0.1,
1993-04,-0.1,
1993-07,-0.1,
1993-10,-0.2,
1994-01,0.7,
1994-04,0.1,
1994-07,0.0,
1994-10,0.2,
1995-01,-0.2,
1995-04,0.4,
1995-07,0.3,
1995-10,0.3,
1996-01,-0.3,
1996-04,0.3,
1996-07,0.2,
1996-10,0.0,
1997-01,0.0,
1997-04,0.1,
1997-07,-0.1,
1997-10,-0.3,
1998-01,0.5,
1998-04,0.1,
1998-07,0.0,
1998-10,0.0,
1999-01,0.2,
1999-04,-0.1,
1999-07,0.1,
1999-10,-0.1,
2000-01,0.3,
2000-04,-0.1,
2000-07,0.0,
2000-10,0.2,
2001-01,0.0,
2001-04,-0.1,
2001-07,0.0,
2001-10,0.2,
2002-01,-0.1,
2002-04,0.1,
2002-07,0.1,
2002-10,0.2,
2003-01,-0.2,
2003-04,0.1,
2003-07,0.1,
2003-10,0.1,
2004-01,-0.3,
2004-04,0.0,
2004-07,0.1,
2004-10,-0.2,
2005-01,0.0,
2005-04,0.3,
2005-07,-0.1,
2005-10,0.0,
2006-01,0.1,
2006-04,0.0,
2006-07,0.1,
2006-10,0.0,
2007-01,0.2,
2007-04,0.1,
2007-07,-0.1,
2007-10,0.1,
2008-01,0.3,
2008-04,0.4,
2008-07,-0.2,
2008-10,0.2,
2009-01,0.3,
2009-04,0.1,
2009-07,0.1,
2009-10,0.0,
2010-01,0.2,
2010-04,-0.1,
2010-07,0.2,
2010-10,0.0,
2011-01,0.0,
2011-04,0.0,
2011-07,0.0,
2011-10,0.2,
2012-01,0.0,
2012-04,0.1,
2012-07,0.0,
2012-10,0.1,
2013-01,0.0,
2013-04,0.0,
2013-07,0.1,
2013-10,0.0,
2014-01,0.0,
2014-04,0.1,
2014-07,0.1,
2014-10,0.0,
