"",BBEX3.M.BBD.USD.CA.AA.A01,BBEX3.M.BBD.USD.CA.AA.A01_FLAGS
1988-11,1.99370,
1988-12,1.99370,
1989-01,1.99370,
1989-02,1.99370,
1989-03,1.99370,
1989-04,1.99370,
1989-05,1.99370,
1989-06,1.99370,
1989-07,1.99370,
1989-08,1.99370,
1989-09,1.99370,
1989-10,1.99370,
1989-11,1.99370,
1989-12,1.99370,
1990-01,1.99370,
1990-02,1.99370,
1990-03,1.99370,
1990-04,1.99370,
1990-05,1.99370,
1990-06,1.99370,
1990-07,1.99370,
1990-08,1.99370,
1990-09,1.99370,
1990-10,1.99370,
1990-11,1.99370,
1990-12,1.99370,
1991-01,1.99370,
1991-02,1.99370,
1991-03,1.99370,
1991-04,1.99370,
1991-05,1.99370,
1991-06,1.99370,
1991-07,1.99370,
1991-08,1.99370,
1991-09,1.99370,
1991-10,1.99370,
1991-11,1.99370,
1991-12,1.99370,
1992-01,1.99370,
1992-02,1.99370,
1992-03,1.99370,
1992-04,1.99370,
1992-05,1.99370,
1992-06,1.99370,
1992-07,1.99370,
1992-08,1.99370,
1992-09,1.99370,
1992-10,1.99370,
1992-11,1.99370,
1992-12,1.99370,
1993-01,1.99370,
1993-02,1.99370,
1993-03,1.99370,
1993-04,1.99370,
1993-05,1.99370,
1993-06,1.99370,
1993-07,1.99370,
1993-08,1.99370,
1993-09,1.99370,
1993-10,1.99370,
1993-11,1.99370,
1993-12,1.99370,
1994-01,1.99370,
1994-02,1.99370,
1994-03,1.99370,
1994-04,1.99370,
1994-05,1.99370,
1994-06,1.99370,
1994-07,1.99370,
1994-08,1.99370,
1994-09,1.99370,
1994-10,1.99370,
1994-11,1.99370,
1994-12,1.99370,
1995-01,1.99370,
1995-02,1.99370,
1995-03,1.99370,
1995-04,1.99370,
1995-05,1.99370,
1995-06,1.99370,
1995-07,1.99370,
1995-08,1.99370,
1995-09,1.99370,
1995-10,1.99370,
1995-11,1.99370,
1995-12,1.99370,
1996-01,1.99370,
1996-02,1.99370,
1996-03,1.99370,
1996-04,1.99370,
1996-05,1.99370,
1996-06,1.99370,
1996-07,1.99370,
1996-08,1.99370,
1996-09,1.99370,
1996-10,1.99370,
1996-11,1.99370,
1996-12,1.99370,
1997-01,1.99370,
1997-02,1.99370,
1997-03,1.99370,
1997-04,1.99370,
1997-05,1.99370,
1997-06,1.99370,
1997-07,1.99370,
1997-08,1.99370,
1997-09,1.99370,
1997-10,1.99370,
1997-11,1.99380,
1997-12,1.99380,
1998-01,1.99380,
1998-02,1.99380,
1998-03,1.99380,
1998-04,1.99380,
1998-05,1.99375,
1998-06,1.99375,
1998-07,1.99375,
1998-08,1.99375,
1998-09,1.99375,
1998-10,1.99375,
1998-11,1.99375,
1998-12,1.99375,
1999-01,1.99375,
1999-02,1.99375,
1999-03,1.99375,
1999-04,1.99375,
1999-05,1.99375,
1999-06,1.99375,
1999-07,1.99375,
1999-08,1.99375,
1999-09,1.99375,
1999-10,1.99375,
1999-11,1.99375,
1999-12,1.99375,
2000-01,1.99375,
2000-02,1.99375,
2000-03,1.99375,
2000-04,1.99375,
2000-05,1.99375,
2000-06,1.99375,
2000-07,1.99375,
2000-08,1.99375,
2000-09,1.99375,
2000-10,1.99375,
2000-11,1.99375,
2000-12,1.99375,
2001-01,1.99375,
2001-02,1.99375,
2001-03,1.99375,
2001-04,1.99375,
2001-05,1.99375,
2001-06,1.99375,
2001-07,1.99375,
2001-08,1.99375,
2001-09,1.99375,
2001-10,1.99375,
2001-11,1.99375,
2001-12,1.99375,
2002-01,1.99375,
2002-02,1.99375,
2002-03,1.99375,
2002-04,1.99375,
2002-05,1.99375,
2002-06,1.99375,
2002-07,1.99375,
2002-08,1.99375,
2002-09,1.99375,
2002-10,1.99375,
2002-11,1.99375,
2002-12,1.99375,
2003-01,1.99375,
2003-02,1.99375,
2003-03,1.99375,
2003-04,1.99375,
2003-05,1.99375,
2003-06,1.99375,
2003-07,1.99375,
2003-08,1.99375,
2003-09,1.99375,
2003-10,1.99375,
2003-11,1.99375,
2003-12,1.99375,
2004-01,1.99375,
2004-02,1.99375,
2004-03,1.99375,
2004-04,1.99375,
2004-05,1.99375,
2004-06,1.99375,
2004-07,1.99375,
2004-08,1.99375,
2004-09,1.99375,
2004-10,1.99375,
2004-11,1.99375,
2004-12,1.99375,
2005-01,1.99375,
2005-02,1.99375,
2005-03,1.99375,
2005-04,1.99375,
2005-05,1.99375,
2005-06,1.99375,
2005-07,1.99375,
2005-08,1.99375,
2005-09,1.99375,
2005-10,1.99375,
2005-11,1.99375,
2005-12,1.99375,
2006-01,1.99375,
2006-02,1.99375,
2006-03,1.99375,
2006-04,1.99375,
2006-05,1.99375,
2006-06,1.99375,
2006-07,1.99375,
2006-08,1.99375,
2006-09,1.99375,
2006-10,1.99375,
2006-11,1.99375,
2006-12,1.99375,
2007-01,1.99375,
2007-02,1.99375,
2007-03,1.99375,
2007-04,1.99375,
2007-05,1.99375,
2007-06,1.99375,
2007-07,1.99375,
2007-08,1.99375,
2007-09,1.99375,
2007-10,1.99375,
2007-11,1.99375,
2007-12,1.99375,
2008-01,1.99375,
2008-02,1.99375,
2008-03,1.99375,
2008-04,1.99375,
2008-05,1.99375,
2008-06,1.99375,
2008-07,1.99375,
2008-08,1.99375,
2008-09,1.99375,
2008-10,1.99375,
2008-11,1.99375,
2008-12,1.99375,
2009-01,1.99375,
2009-02,1.99375,
2009-03,1.99375,
2009-04,1.99375,
2009-05,1.99375,
2009-06,1.99375,
2009-07,1.99375,
2009-08,1.99375,
2009-09,1.99375,
2009-10,1.99375,
2009-11,1.99375,
2009-12,1.99375,
2010-01,1.99375,
2010-02,1.99375,
2010-03,1.99375,
2010-04,1.99375,
2010-05,1.99375,
2010-06,1.99375,
2010-07,1.99375,
2010-08,1.99375,
2010-09,1.99375,
2010-10,1.99375,
2010-11,1.99375,
2010-12,1.99375,
2011-01,1.99375,
2011-02,1.99375,
2011-03,1.99375,
2011-04,1.99375,
2011-05,1.99375,
2011-06,1.99375,
2011-07,1.99375,
2011-08,1.99375,
2011-09,1.99375,
2011-10,1.99375,
2011-11,1.99375,
2011-12,1.99375,
2012-01,1.99375,
2012-02,1.99375,
2012-03,1.99375,
2012-04,1.99375,
2012-05,1.99375,
2012-06,1.99375,
2012-07,1.99375,
2012-08,1.99375,
2012-09,1.99375,
2012-10,1.99375,
2012-11,1.99375,
2012-12,1.99375,
2013-01,1.99375,
2013-02,1.99375,
2013-03,1.99375,
2013-04,1.99375,
2013-05,1.99375,
2013-06,1.99375,
2013-07,1.99375,
2013-08,1.99375,
2013-09,1.99375,
2013-10,1.99375,
2013-11,1.99375,
2013-12,1.99375,
2014-01,1.99375,
2014-02,1.99375,
2014-03,1.99375,
2014-04,1.99375,
2014-05,1.99375,
2014-06,1.99375,
2014-07,1.99375,
2014-08,1.99375,
2014-09,1.99375,
2014-10,1.99375,
2014-11,1.99375,
2014-12,1.99375,
2015-01,1.99375,
"",General: The Barbados dollar is pegged to the US dollar.,
"","Source: Central Bank of Barbados, Bridgetown.",
