"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.LV.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.LV.00000.000000.Z01.00_FLAGS
"",,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:50,
2009-09,39,
2009-10,32,
2009-11,33,
2009-12,33,
2010-01,34,
2010-02,35,
2010-03,36,
2010-04,36,
2010-05,36,
2010-06,33,
2010-07,28,
2010-08,27,
2010-09,23,
2010-10,18,
2010-11,16,
2010-12,16,
2011-01,17,
2011-02,17,
2011-03,17,
2011-04,17,
2011-05,14,
2011-06,29,
2011-07,29,
2011-08,36,
2011-09,39,
2011-10,38,
2011-11,41,
2011-12,44,
2012-01,44,
2012-02,47,
2012-03,59,
2012-04,63,
2012-05,72,
2012-06,76,
2012-07,82,
2012-08,99,
2012-09,111,
2012-10,132,
2012-11,141,
2012-12,192,
2013-01,199,
2013-02,219,
2013-03,235,
2013-04,241,
2013-05,242,
2013-06,249,
2013-07,259,
2013-08,266,
2013-09,252,
2013-10,251,
2013-11,267,
2013-12,277,
2014-01,425,
2014-02,428,
2014-03,426,
2014-04,630,
2014-05,626,
2014-06,638,
2014-07,637,
2014-08,658,
2014-09,655,
2014-10,683,
2014-11,685,
