"",BBSF2.M.1.S.I1252.SON01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.SON01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:58,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,8,
2010-01,-,Nothing exists
2010-02,15,
2010-03,-,Nothing exists
2010-04,9,
2010-05,-,Nothing exists
2010-06,6,
2010-07,-,Nothing exists
2010-08,10,
2010-09,-,Nothing exists
2010-10,10,
2010-11,-,Nothing exists
2010-12,251,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,2,
2011-04,-,Nothing exists
2011-05,6,
2011-06,9,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,0,
2011-10,-,Nothing exists
2011-11,16,
2011-12,-,Nothing exists
2012-01,-,Nothing exists
2012-02,0,
2012-03,138,
2012-04,6,
2012-05,-,Nothing exists
2012-06,10,
2012-07,56,
2012-08,14,
2012-09,24,
2012-10,10,
2012-11,2,
2012-12,46,
2013-01,36,
2013-02,47,
2013-03,30,
2013-04,63,
2013-05,40,
2013-06,18,
2013-07,42,
2013-08,12,
2013-09,43,
2013-10,-,Nothing exists
2013-11,21,
2013-12,19,
2014-01,29,
2014-02,39,
2014-03,30,
2014-04,30,
2014-05,16,
2014-06,19,
2014-07,-,Nothing exists
2014-08,4,
2014-09,6,
2014-10,1,
2014-11,13,
