"",BBK01.OEAH89P,BBK01.OEAH89P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:54,
2002-01,0.140,
2002-04,0.132,
2002-07,0.289,
2002-10,0.341,
2003-01,0.369,
2003-04,0.360,
2003-07,0.352,
2003-10,0.368,
2004-01,0.377,
2004-04,0.393,
2004-07,0.485,
2004-10,0.456,
2005-01,0.432,
2005-04,0.446,
2005-07,0.483,
2005-10,0.494,
2006-01,0.481,
2006-04,0.470,
2006-07,0.476,
2006-10,0.502,
2007-01,0.500,
2007-04,0.494,
2007-07,0.478,
2007-10,0.469,
2008-01,0.455,
2008-04,0.463,
2008-07,0.490,
2008-10,0.481,
2009-01,0.493,
2009-04,0.057,
2009-07,0.058,
2009-10,0.040,
2010-01,0.038,
2010-04,0.038,
2010-07,0.036,
2010-10,0.028,
2011-01,0.030,
2011-04,0.029,
2011-07,0.058,
2011-10,0.066,
2012-01,0.067,
2012-04,0.066,
2012-07,0.049,
2012-10,0.047,
2013-01,0.021,
2013-04,0.021,
2013-07,0.023,
2013-10,0.024,
2014-01,0.024,
2014-04,0.027,
2014-07,0.026,
