"",BBK01.OUU300,BBK01.OUU300_FLAGS
"",Time deposits of local government and local government associations / Total / Building and loan associations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:25:23,
1999-01,0.565,
1999-02,0.556,
1999-03,0.551,
1999-04,0.535,
1999-05,0.528,
1999-06,0.515,
1999-07,0.517,
1999-08,0.517,
1999-09,0.514,
1999-10,0.514,
1999-11,0.511,
1999-12,0.816,
2000-01,0.533,
2000-02,0.525,
2000-03,0.529,
2000-04,0.455,
2000-05,0.510,
2000-06,0.509,
2000-07,0.507,
2000-08,0.504,
2000-09,0.514,
2000-10,0.498,
2000-11,0.487,
2000-12,0.512,
2001-01,0.503,
2001-02,0.500,
2001-03,0.506,
2001-04,0.392,
2001-05,0.382,
2001-06,0.373,
2001-07,0.367,
2001-08,0.368,
2001-09,0.353,
2001-10,0.354,
2001-11,0.352,
2001-12,0.353,
2002-01,0.338,
2002-02,0.356,
2002-03,0.349,
2002-04,0.334,
2002-05,0.323,
2002-06,0.327,
2002-07,0.325,
2002-08,0.323,
2002-09,0.313,
2002-10,0.309,
2002-11,0.308,
2002-12,0.310,
2003-01,0.307,
2003-02,0.316,
2003-03,0.312,
2003-04,0.272,
2003-05,0.274,
2003-06,0.279,
2003-07,0.281,
2003-08,0.280,
2003-09,0.283,
2003-10,0.279,
2003-11,0.247,
2003-12,0.277,
2004-01,0.276,
2004-02,0.277,
2004-03,0.274,
2004-04,0.254,
2004-05,0.255,
2004-06,0.249,
2004-07,0.247,
2004-08,0.223,
2004-09,0.228,
2004-10,0.221,
2004-11,0.218,
2004-12,0.232,
2005-01,0.238,
2005-02,0.238,
2005-03,0.250,
2005-04,0.250,
2005-05,0.244,
2005-06,0.259,
2005-07,0.237,
2005-08,0.231,
2005-09,0.237,
2005-10,0.229,
2005-11,0.229,
2005-12,0.233,
2006-01,0.234,
2006-02,0.235,
2006-03,0.239,
2006-04,0.235,
2006-05,0.236,
2006-06,0.232,
2006-07,0.225,
2006-08,0.222,
2006-09,0.210,
2006-10,0.182,
2006-11,0.178,
2006-12,0.188,
2007-01,0.190,
2007-02,0.188,
2007-03,0.188,
2007-04,0.189,
2007-05,0.182,
2007-06,0.180,
2007-07,0.178,
2007-08,0.177,
2007-09,0.178,
2007-10,0.178,
2007-11,0.178,
2007-12,0.183,
2008-01,0.180,
2008-02,0.191,
2008-03,0.183,
2008-04,0.183,
2008-05,0.183,
2008-06,0.172,
2008-07,0.171,
2008-08,0.170,
2008-09,0.169,
2008-10,0.169,
2008-11,0.162,
2008-12,0.171,
2009-01,0.182,
2009-02,0.182,
2009-03,0.185,
2009-04,0.189,
2009-05,0.206,
2009-06,0.219,
2009-07,0.207,
2009-08,0.207,
2009-09,0.211,
2009-10,0.207,
2009-11,0.209,
2009-12,0.225,
2010-01,0.232,
2010-02,0.225,
2010-03,0.225,
2010-04,0.227,
2010-05,0.227,
2010-06,0.234,
2010-07,0.242,
2010-08,0.250,
2010-09,0.251,
2010-10,0.254,
2010-11,0.255,
2010-12,0.260,
2011-01,0.266,
2011-02,0.270,
2011-03,0.272,
2011-04,0.275,
2011-05,0.276,
2011-06,0.282,
2011-07,0.284,
2011-08,0.291,
2011-09,0.297,
2011-10,0.296,
2011-11,0.292,
2011-12,0.294,
2012-01,0.294,
2012-02,0.289,
2012-03,0.294,
2012-04,0.295,
2012-05,0.303,
2012-06,0.303,
2012-07,0.302,
2012-08,0.306,
2012-09,0.304,
2012-10,0.305,
2012-11,0.308,
2012-12,0.325,
2013-01,0.350,
2013-02,0.327,
2013-03,0.327,
2013-04,0.323,
2013-05,0.325,
2013-06,0.326,
2013-07,0.328,
2013-08,0.331,
2013-09,0.331,
2013-10,0.332,
2013-11,0.332,
2013-12,0.327,
2014-01,0.326,
2014-02,0.330,
2014-03,0.334,
2014-04,0.344,
2014-05,0.347,
2014-06,0.348,
2014-07,0.348,
2014-08,0.347,
2014-09,0.348,
2014-10,0.348,
2014-11,0.348,
2014-12,0.373,Provisional value
