"",BBK01.OEHO01T,BBK01.OEHO01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:48,
2002-01,8.175,
2002-04,8.183,
2002-07,8.133,
2002-10,8.119,
2003-01,8.336,
2003-04,8.350,
2003-07,8.323,
2003-10,8.301,
2004-01,8.554,
2004-04,8.548,
2004-07,8.484,
2004-10,8.448,
2005-01,8.610,
2005-04,8.619,
2005-07,8.564,
2005-10,8.554,
2006-01,8.689,
2006-04,8.703,
2006-07,8.641,
2006-10,8.565,
2007-01,8.663,
2007-04,8.635,
2007-07,8.549,
2007-10,8.461,
2008-01,8.572,
2008-04,8.511,
2008-07,8.400,
2008-10,8.282,
2009-01,8.533,
2009-04,8.501,
2009-07,8.435,
2009-10,8.364,
2010-01,8.607,
2010-04,8.676,
2010-07,8.679,
2010-10,8.690,
2011-01,8.858,
2011-04,8.880,
2011-07,8.854,
2011-10,8.822,
2012-01,8.916,
2012-04,8.938,
2012-07,8.919,
2012-10,8.929,
2013-01,9.075,
2013-04,9.186,
2013-07,9.160,
2013-10,9.168,
2014-01,9.214,
2014-04,9.199,
2014-07,9.202,
