"",BBK01.OEAE35R,BBK01.OEAE35R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:46,
2002-01,0.028,
2002-04,0.028,
2002-07,0.028,
2002-10,0.027,
2003-01,0.025,
2003-04,0.025,
2003-07,0.027,
2003-10,0.027,
2004-01,0.027,
2004-04,0.026,
2004-07,0.026,
2004-10,0.025,
2005-01,0.024,
2005-04,0.028,
2005-07,0.028,
2005-10,0.026,
2006-01,0.027,
2006-04,0.027,
2006-07,0.026,
2006-10,0.027,
2007-01,0.026,
2007-04,0.024,
2007-07,0.025,
2007-10,0.025,
2008-01,0.026,
2008-04,0.028,
2008-07,0.027,
2008-10,0.027,
2009-01,0.024,
2009-04,0.023,
2009-07,0.024,
2009-10,0.024,
2010-01,0.024,
2010-04,0.025,
2010-07,0.024,
2010-10,0.023,
2011-01,0.023,
2011-04,0.022,
2011-07,0.024,
2011-10,0.024,
2012-01,0.023,
2012-04,0.024,
2012-07,0.025,
2012-10,0.025,
2013-01,0.026,
2013-04,0.029,
2013-07,0.029,
2013-10,0.028,
2014-01,0.033,
2014-04,0.033,
2014-07,0.031,
