"",BBFN1.M.DE.N.1.A.LI.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LI.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Liechtenstein,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:37,
1986-06,0.000,
1986-07,0.000,
1986-08,0.000,
1986-09,0.000,
1986-10,0.000,
1986-11,0.000,
1986-12,0.000,
1987-01,0.000,
1987-02,0.000,
1987-03,0.000,
1987-04,0.000,
1987-05,0.000,
1987-06,0.000,
1987-07,0.000,
1987-08,0.000,
1987-09,0.000,
1987-10,0.000,
1987-11,0.000,
1987-12,0.000,
1988-01,0.000,
1988-02,0.000,
1988-03,0.000,
1988-04,0.000,
1988-05,0.000,
1988-06,0.000,
1988-07,0.000,
1988-08,0.000,
1988-09,0.000,
1988-10,0.000,
1988-11,0.000,
1988-12,0.000,
1989-01,0.000,
1989-02,0.000,
1989-03,0.000,
1989-04,0.000,
1989-05,0.000,
1989-06,0.000,
1989-07,0.000,
1989-08,0.000,
1989-09,0.000,
1989-10,0.000,
1989-11,0.000,
1989-12,0.000,
1990-01,0.000,
1990-02,0.000,
1990-03,0.000,
1990-04,0.000,
1990-05,0.000,
1990-06,0.000,
1990-07,0.000,
1990-08,0.000,
1990-09,0.000,
1990-10,0.000,
1990-11,0.000,
1990-12,0.000,
1991-01,0.000,
1991-02,0.000,
1991-03,0.000,
1991-04,0.000,
1991-05,0.000,
1991-06,0.000,
1991-07,0.000,
1991-08,0.000,
1991-09,0.000,
1991-10,0.000,
1991-11,0.000,
1991-12,0.000,
1992-01,0.000,
1992-02,0.000,
1992-03,0.000,
1992-04,0.000,
1992-05,0.000,
1992-06,0.000,
1992-07,0.000,
1992-08,0.000,
1992-09,0.000,
1992-10,0.000,
1992-11,0.000,
1992-12,0.000,
1993-01,0.000,
1993-02,0.000,
1993-03,0.000,
1993-04,0.000,
1993-05,0.000,
1993-06,0.000,
1993-07,0.000,
1993-08,0.000,
1993-09,0.000,
1993-10,0.000,
1993-11,0.000,
1993-12,.,No value available
1994-01,0.000,
1994-02,0.000,
1994-03,0.000,
1994-04,0.000,
1994-05,0.000,
1994-06,0.000,
1994-07,0.000,
1994-08,0.000,
1994-09,0.000,
1994-10,0.000,
1994-11,0.000,
1994-12,.,No value available
1995-01,0.000,
1995-02,0.000,
1995-03,0.000,
1995-04,0.000,
1995-05,0.000,
1995-06,0.000,
1995-07,0.000,
1995-08,0.000,
1995-09,0.000,
1995-10,0.000,
1995-11,0.000,
1995-12,0.051,
1996-01,0.051,
1996-02,0.051,
1996-03,0.051,
1996-04,0.051,
1996-05,0.051,
1996-06,0.051,
1996-07,0.047,
1996-08,0.050,
1996-09,0.041,
1996-10,0.037,
1996-11,0.049,
1996-12,0.041,
1997-01,0.052,
1997-02,0.048,
1997-03,0.048,
1997-04,0.049,
1997-05,0.044,
1997-06,0.038,
1997-07,0.044,
1997-08,0.044,
1997-09,0.042,
1997-10,0.046,
1997-11,0.056,
1997-12,0.062,
1998-01,0.070,
1998-02,0.073,
1998-03,0.081,
1998-04,0.087,
1998-05,0.096,
1998-06,0.086,
1998-07,0.091,
1998-08,0.077,
1998-09,0.072,
