"",BBSF2.M.1.T.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Funds total / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:15,
1950-12,1,
1951-01,-,Nothing exists
1951-02,-,Nothing exists
1951-03,-,Nothing exists
1951-04,-,Nothing exists
1951-05,-,Nothing exists
1951-06,-,Nothing exists
1951-07,-,Nothing exists
1951-08,-,Nothing exists
1951-09,-,Nothing exists
1951-10,-,Nothing exists
1951-11,-,Nothing exists
1951-12,3,
1952-01,-,Nothing exists
1952-02,-,Nothing exists
1952-03,-,Nothing exists
1952-04,-,Nothing exists
1952-05,-,Nothing exists
1952-06,-,Nothing exists
1952-07,-,Nothing exists
1952-08,-,Nothing exists
1952-09,-,Nothing exists
1952-10,-,Nothing exists
1952-11,-,Nothing exists
1952-12,3,
1953-01,-,Nothing exists
1953-02,-,Nothing exists
1953-03,-,Nothing exists
1953-04,-,Nothing exists
1953-05,-,Nothing exists
1953-06,-,Nothing exists
1953-07,-,Nothing exists
1953-08,-,Nothing exists
1953-09,-,Nothing exists
1953-10,-,Nothing exists
1953-11,-,Nothing exists
1953-12,3,
1954-01,-,Nothing exists
1954-02,-,Nothing exists
1954-03,-,Nothing exists
1954-04,-,Nothing exists
1954-05,-,Nothing exists
1954-06,-,Nothing exists
1954-07,-,Nothing exists
1954-08,-,Nothing exists
1954-09,-,Nothing exists
1954-10,-,Nothing exists
1954-11,-,Nothing exists
1954-12,5,
1955-01,-,Nothing exists
1955-02,-,Nothing exists
1955-03,-,Nothing exists
1955-04,-,Nothing exists
1955-05,-,Nothing exists
1955-06,-,Nothing exists
1955-07,-,Nothing exists
1955-08,-,Nothing exists
1955-09,-,Nothing exists
1955-10,-,Nothing exists
1955-11,-,Nothing exists
1955-12,15,
1956-01,14,
1956-02,14,
1956-03,19,
1956-04,31,
1956-05,33,
1956-06,37,
1956-07,39,
1956-08,39,
1956-09,44,
1956-10,44,
1956-11,51,
1956-12,67,
1957-01,72,
1957-02,76,
1957-03,83,
1957-04,88,
1957-05,92,
1957-06,94,
1957-07,110,
1957-08,119,
1957-09,131,
1957-10,137,
1957-11,150,
1957-12,162,
1958-01,191,
1958-02,192,
1958-03,212,
1958-04,235,
1958-05,241,
1958-06,267,
1958-07,294,
1958-08,333,
1958-09,386,
1958-10,454,
1958-11,510,
1958-12,536,
1959-01,601,
1959-02,596,
1959-03,633,
1959-04,668,
1959-05,757,
1959-06,886,
1959-07,993,
1959-08,1120,
1959-09,1042,
1959-10,1021,
1959-11,1075,
1959-12,1159,
1960-01,1249,
1960-02,1232,
1960-03,1240,
1960-04,1285,
1960-05,1404,
1960-06,1562,
1960-07,1558,
1960-08,1762,
1960-09,1638,
1960-10,1612,
1960-11,1602,
1960-12,1609,
1961-01,1620,
1961-02,1619,
1961-03,1608,
1961-04,1639,
1961-05,1715,
1961-06,1678,
1961-07,1601,
1961-08,1473,
1961-09,1474,
1961-10,1569,
1961-11,1617,
1961-12,1590,
1962-01,1584,
1962-02,1584,
1962-03,1578,
1962-04,1538,
1962-05,1340,
1962-06,1266,
1962-07,1261,
1962-08,1288,
1962-09,1225,
1962-10,1202,
1962-11,1362,
1962-12,1340,
1963-01,1311,
1963-02,1242,
1963-03,1281,
1963-04,1320,
1963-05,1448,
1963-06,1421,
1963-07,1464,
1963-08,1504,
1963-09,1513,
1963-10,1485,
1963-11,1435,
