"",BBK01.OEAA39L,BBK01.OEAA39L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:31,
2002-01,73.357,
2002-04,75.366,
2002-07,76.815,
2002-10,76.826,
2003-01,77.996,
2003-04,81.930,
2003-07,86.620,
2003-10,89.767,
2004-01,89.797,
2004-04,91.853,
2004-07,92.645,
2004-10,93.611,
2005-01,95.245,
2005-04,96.506,
2005-07,99.088,
2005-10,101.191,
2006-01,102.335,
2006-04,99.756,
2006-07,104.365,
2006-10,105.390,
2007-01,102.780,
2007-04,104.788,
2007-07,111.873,
2007-10,116.058,
2008-01,116.352,
2008-04,115.118,
2008-07,119.675,
2008-10,118.923,
2009-01,118.184,
2009-04,120.574,
2009-07,121.339,
2009-10,122.113,
2010-01,121.824,
2010-04,122.327,
2010-07,123.399,
2010-10,124.208,
2011-01,123.727,
2011-04,124.863,
2011-07,125.812,
2011-10,126.668,
2012-01,126.692,
2012-04,127.697,
2012-07,129.152,
2012-10,129.610,
2013-01,129.628,
2013-04,129.926,
2013-07,130.810,
2013-10,131.450,
2014-01,131.594,
2014-04,132.687,
2014-07,133.836,
