"",BBK01.CEBL01,BBK01.CEBL01_FLAGS
"",Mutual funds shares debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:40,
1991-01,0.0,
1991-04,0.0,
1991-07,0.0,
1991-10,15.1,
1992-01,0.0,
1992-04,0.0,
1992-07,0.0,
1992-10,18.0,
1993-01,0.0,
1993-04,0.0,
1993-07,0.0,
1993-10,22.4,
1994-01,25.7,
1994-04,29.1,
1994-07,28.9,
1994-10,30.5,
1995-01,31.3,
1995-04,31.8,
1995-07,32.8,
1995-10,35.2,
1996-01,37.2,
1996-04,38.9,
1996-07,40.2,
1996-10,42.8,
1997-01,46.6,
1997-04,50.4,
1997-07,53.9,
1997-10,56.7,
1998-01,63.1,
1998-04,66.9,
1998-07,66.8,
1998-10,72.3,
1999-01,76.4,
1999-04,79.1,
1999-07,79.3,
1999-10,88.3,
2000-01,93.1,
2000-04,90.4,
2000-07,90.6,
2000-10,90.7,
2001-01,88.7,
2001-04,88.8,
2001-07,85.7,
2001-10,88.7,
2002-01,88.3,
2002-04,85.5,
2002-07,84.6,
2002-10,81.3,
2003-01,85.7,
2003-04,90.7,
2003-07,94.3,
2003-10,99.6,
2004-01,100.2,
2004-04,101.8,
2004-07,102.6,
2004-10,106.8,
2005-01,108.3,
2005-04,111.8,
2005-07,112.3,
2005-10,108.8,
2006-01,94.9,
2006-04,93.1,
2006-07,99.0,
2006-10,106.2,
2007-01,115.9,
2007-04,116.4,
2007-07,117.3,
2007-10,126.9,
2008-01,119.6,
2008-04,119.4,
2008-07,116.1,
2008-10,102.3,
2009-01,102.3,
2009-04,103.2,
2009-07,105.4,
2009-10,108.8,
2010-01,114.4,
2010-04,113.7,
2010-07,118.8,
2010-10,119.3,
2011-01,119.9,
2011-04,120.0,
2011-07,117.6,
2011-10,123.1,
2012-01,120.5,
2012-04,119.6,
2012-07,123.9,
2012-10,129.0,
2013-01,134.1,
2013-04,131.9,
2013-07,135.6,
2013-10,138.1,
2014-01,140.9,
