"",BBK01.SU0021,BBK01.SU0021_FLAGS
"","Deposit rates of banks / Time deposits with agreed maturities of 1 month, EUR 500,000 and more but less than EUR 2.5 million / Highest rate of spread",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:16,
1967-06,6.50,
1967-07,.,No value available
1967-08,.,No value available
1967-09,6.00,
1967-10,.,No value available
1967-11,.,No value available
1967-12,5.50,
1968-01,.,No value available
1968-02,.,No value available
1968-03,4.50,
1968-04,.,No value available
1968-05,.,No value available
1968-06,5.00,
1968-07,.,No value available
1968-08,.,No value available
1968-09,4.75,
1968-10,.,No value available
1968-11,5.25,
1968-12,.,No value available
1969-01,.,No value available
1969-02,4.50,
1969-03,.,No value available
1969-04,.,No value available
1969-05,5.00,
1969-06,.,No value available
1969-07,.,No value available
1969-08,6.62,
1969-09,.,No value available
1969-10,.,No value available
1969-11,7.63,
1969-12,.,No value available
1970-01,.,No value available
1970-02,9.62,
1970-03,.,No value available
1970-04,.,No value available
1970-05,10.00,
1970-06,.,No value available
1970-07,.,No value available
1970-08,9.25,
1970-09,.,No value available
1970-10,.,No value available
1970-11,9.00,
1970-12,.,No value available
1971-01,7.75,
1971-02,7.50,
1971-03,.,No value available
1971-04,.,No value available
1971-05,6.75,
1971-06,.,No value available
1971-07,.,No value available
1971-08,7.50,
1971-09,.,No value available
1971-10,.,No value available
1971-11,7.37,
1971-12,.,No value available
1972-01,.,No value available
1972-02,6.00,
1972-03,.,No value available
1972-04,.,No value available
1972-05,5.50,
1972-06,.,No value available
1972-07,.,No value available
1972-08,5.50,
1972-09,.,No value available
1972-10,.,No value available
1972-11,7.75,
1972-12,.,No value available
1973-01,.,No value available
1973-02,8.00,
1973-03,.,No value available
1973-04,.,No value available
1973-05,10.65,
1973-06,.,No value available
1973-07,12.75,
1973-08,13.50,
1973-09,.,No value available
1973-10,.,No value available
1973-11,14.00,
1973-12,.,No value available
1974-01,.,No value available
1974-02,11.50,
1974-03,.,No value available
1974-04,.,No value available
1974-05,9.50,
1974-06,.,No value available
1974-07,.,No value available
1974-08,9.00,
1974-09,.,No value available
1974-10,.,No value available
1974-11,9.25,
1974-12,.,No value available
1975-01,.,No value available
1975-02,7.25,
1975-03,6.00,
1975-04,5.50,
1975-05,5.25,
1975-06,5.10,
1975-07,5.00,
1975-08,4.50,
1975-09,4.50,
1975-10,5.00,
1975-11,5.13,
1975-12,5.25,
1976-01,4.50,
1976-02,4.50,
1976-03,4.50,
1976-04,4.13,
1976-05,4.13,
1976-06,4.25,
1976-07,4.50,
1976-08,4.75,
1976-09,5.00,
1976-10,5.50,
1976-11,5.25,
1976-12,5.50,
1977-01,5.00,
1977-02,4.87,
1977-03,5.00,
1977-04,4.75,
1977-05,4.75,
1977-06,4.40,
1977-07,4.37,
1977-08,4.25,
1977-09,4.30,
1977-10,4.75,
1977-11,4.83,
1977-12,4.80,
1978-01,4.00,
1978-02,3.75,
1978-03,3.60,
1978-04,3.75,
1978-05,3.75,
1978-06,3.75,
1978-07,4.00,
1978-08,4.00,
1978-09,4.25,
1978-10,4.55,
1978-11,4.63,
1978-12,4.50,
1979-01,4.25,
1979-02,4.25,
1979-03,4.38,
1979-04,5.50,
1979-05,5.75,
1979-06,6.25,
1979-07,6.50,
1979-08,7.00,
1979-09,7.50,
1979-10,8.25,
1979-11,9.25,
1979-12,9.50,
1980-01,8.62,
1980-02,8.75,
1980-03,9.06,
1980-04,9.50,
1980-05,9.75,
1980-06,9.75,
1980-07,9.50,
1980-08,9.00,
1980-09,8.75,
1980-10,9.00,
