"",BBK01.OUP110,BBK01.OUP110_FLAGS
"",Participating interests / in foreign banks / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:53:19,
1985-12,0.003,
1986-01,0.003,
1986-02,0.003,
1986-03,0.003,
1986-04,0.003,
1986-05,0.003,
1986-06,0.003,
1986-07,0.003,
1986-08,0.003,
1986-09,0.003,
1986-10,0.003,
1986-11,0.003,
1986-12,0.003,
1987-01,0.003,
1987-02,0.003,
1987-03,0.003,
1987-04,0.003,
1987-05,0.003,
1987-06,0.003,
1987-07,0.003,
1987-08,0.003,
1987-09,0.003,
1987-10,0.003,
1987-11,0.003,
1987-12,0.003,
1988-01,0.003,
1988-02,0.003,
1988-03,0.003,
1988-04,0.003,
1988-05,0.003,
1988-06,0.003,
1988-07,0.003,
1988-08,0.003,
1988-09,0.003,
1988-10,0.003,
1988-11,0.003,
1988-12,0.003,
1989-01,0.003,
1989-02,0.003,
1989-03,0.003,
1989-04,0.003,
1989-05,0.003,
1989-06,0.003,
1989-07,0.003,
1989-08,0.003,
1989-09,0.003,
1989-10,0.003,
1989-11,0.003,
1989-12,0.003,
1990-01,0.003,
1990-02,0.003,
1990-03,0.003,
1990-04,0.003,
1990-05,0.003,
1990-06,0.003,
1990-07,0.003,
1990-08,0.003,
1990-09,0.003,
1990-10,0.003,
1990-11,0.003,
1990-12,0.003,
1991-01,0.003,
1991-02,0.003,
1991-03,0.003,
1991-04,0.003,
1991-05,0.003,
1991-06,0.003,
1991-07,0.003,
1991-08,0.003,
1991-09,0.003,
1991-10,0.003,
1991-11,0.003,
1991-12,0.003,
1992-01,0.003,
1992-02,0.003,
1992-03,0.003,
1992-04,0.003,
1992-05,0.003,
1992-06,0.003,
1992-07,0.003,
1992-08,0.003,
1992-09,0.003,
1992-10,0.003,
1992-11,0.003,
1992-12,0.084,
1993-01,0.084,
1993-02,0.084,
1993-03,0.084,
1993-04,0.084,
1993-05,0.084,
1993-06,0.084,
1993-07,0.084,
1993-08,0.084,
1993-09,0.084,
1993-10,0.084,
1993-11,0.084,
1993-12,0.412,
1994-01,0.413,
1994-02,0.405,
1994-03,0.406,
1994-04,0.402,
