"",BBK01.OEXM03S,BBK01.OEXM03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:46,
2002-01,0.289,
2002-04,0.228,
2002-07,0.211,
2002-10,0.127,
2003-01,0.120,
2003-04,0.108,
2003-07,0.114,
2003-10,0.103,
2004-01,0.080,
2004-04,0.078,
2004-07,0.091,
2004-10,0.088,
2005-01,0.070,
2005-04,0.103,
2005-07,0.093,
2005-10,0.113,
2006-01,0.118,
2006-04,0.160,
2006-07,0.183,
2006-10,0.162,
2007-01,0.197,
2007-04,0.243,
2007-07,0.284,
2007-10,0.294,
2008-01,0.340,
2008-04,0.354,
2008-07,0.382,
2008-10,0.331,
2009-01,0.126,
2009-04,0.058,
2009-07,0.040,
2009-10,0.016,
2010-01,0.012,
2010-04,0.019,
2010-07,0.012,
2010-10,0.030,
2011-01,0.028,
2011-04,0.065,
2011-07,0.074,
2011-10,0.252,
2012-01,0.407,
2012-04,0.517,
2012-07,0.591,
2012-10,0.601,
2013-01,0.625,
2013-04,0.648,
2013-07,0.607,
2013-10,0.630,
2014-01,0.599,
2014-04,0.579,
2014-07,0.549,
