"",BBK01.CELF93,BBK01.CELF93_FLAGS
"",long-term loans                                              debtor: OFI      creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:19,
1999-01,0.4,
1999-04,0.4,
1999-07,0.2,
1999-10,1.1,
2000-01,0.1,
2000-04,0.4,
2000-07,0.6,
2000-10,0.0,
2001-01,0.7,
2001-04,-0.2,
2001-07,0.6,
2001-10,0.4,
2002-01,0.5,
2002-04,0.5,
2002-07,0.3,
2002-10,1.1,
2003-01,0.0,
2003-04,0.0,
2003-07,0.0,
2003-10,0.0,
2004-01,0.0,
2004-04,0.6,
2004-07,0.6,
2004-10,0.5,
2005-01,0.7,
2005-04,0.4,
2005-07,0.5,
2005-10,1.0,
2006-01,2.7,
2006-04,-0.7,
2006-07,-0.3,
2006-10,0.2,
2007-01,-0.7,
2007-04,0.2,
2007-07,-0.5,
2007-10,0.6,
2008-01,-0.5,
2008-04,0.2,
2008-07,1.2,
2008-10,1.1,
2009-01,-0.9,
2009-04,2.0,
2009-07,-5.3,
2009-10,-0.3,
2010-01,1.0,
2010-04,1.0,
2010-07,1.3,
2010-10,-1.0,
2011-01,0.3,
2011-04,0.6,
2011-07,-0.5,
2011-10,-0.3,
2012-01,0.2,
2012-04,2.8,
2012-07,-3.0,
2012-10,1.8,
2013-01,0.4,
2013-04,0.7,
2013-07,-1.4,
2013-10,0.0,
2014-01,-0.7,
2014-04,0.4,
2014-07,0.8,
