"",BBK01.CEHO03,BBK01.CEHO03_FLAGS
"",Other deposits debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:46,
1991-01,-15.9,
1991-04,-13.4,
1991-07,-1.6,
1991-10,62.5,
1992-01,-49.8,
1992-04,-16.8,
1992-07,10.7,
1992-10,28.1,
1993-01,-6.4,
1993-04,9.3,
1993-07,14.5,
1993-10,72.1,
1994-01,-27.3,
1994-04,-10.7,
1994-07,10.8,
1994-10,54.9,
1995-01,-13.9,
1995-04,16.6,
1995-07,29.2,
1995-10,50.7,
1996-01,10.2,
1996-04,-4.7,
1996-07,12.5,
1996-10,68.2,
1997-01,-7.1,
1997-04,21.4,
1997-07,22.7,
1997-10,72.1,
1998-01,-17.4,
1998-04,29.6,
1998-07,13.7,
1998-10,86.2,
1999-01,-88.3,
1999-04,32.0,
1999-07,65.6,
1999-10,38.6,
2000-01,-8.8,
2000-04,-7.9,
2000-07,30.0,
2000-10,90.9,
2001-01,-15.5,
2001-04,-14.7,
2001-07,33.5,
2001-10,45.9,
2002-01,-49.6,
2002-04,29.6,
2002-07,38.6,
2002-10,104.2,
2003-01,-5.2,
2003-04,63.6,
2003-07,-57.7,
2003-10,75.6,
2004-01,-49.4,
2004-04,90.0,
2004-07,-9.6,
2004-10,120.8,
2005-01,-32.9,
2005-04,57.4,
2005-07,42.0,
2005-10,24.8,
2006-01,36.3,
2006-04,66.8,
2006-07,-14.9,
2006-10,76.0,
2007-01,4.3,
2007-04,26.9,
2007-07,73.3,
2007-10,152.7,
2008-01,-105.7,
2008-04,29.6,
2008-07,108.9,
2008-10,33.8,
2009-01,-203.3,
2009-04,25.3,
2009-07,-158.8,
2009-10,4.8,
2010-01,-74.0,
2010-04,27.9,
2010-07,-187.4,
2010-10,-41.4,
2011-01,-81.1,
2011-04,-32.6,
2011-07,0.5,
2011-10,75.8,
2012-01,-38.7,
2012-04,-60.8,
2012-07,-45.2,
2012-10,-49.7,
2013-01,-64.7,
2013-04,-31.4,
2013-07,-32.7,
2013-10,21.0,
2014-01,4.2,
