"",BBK01.CEHK10,BBK01.CEHK10_FLAGS
"",Other equity debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:29,
1991-01,3.1,
1991-04,2.8,
1991-07,3.2,
1991-10,3.0,
1992-01,2.0,
1992-04,1.6,
1992-07,1.7,
1992-10,1.6,
1993-01,2.1,
1993-04,2.3,
1993-07,2.1,
1993-10,2.0,
1994-01,0.2,
1994-04,2.6,
1994-07,2.3,
1994-10,4.0,
1995-01,-4.0,
1995-04,1.8,
1995-07,3.2,
1995-10,3.6,
1996-01,1.7,
1996-04,1.4,
1996-07,1.7,
1996-10,4.6,
1997-01,2.5,
1997-04,2.9,
1997-07,3.1,
1997-10,5.9,
1998-01,2.0,
1998-04,2.2,
1998-07,3.2,
1998-10,7.7,
1999-01,1.9,
1999-04,2.1,
1999-07,2.9,
1999-10,9.1,
2000-01,2.9,
2000-04,20.0,
2000-07,6.1,
2000-10,92.1,
2001-01,9.7,
2001-04,4.3,
2001-07,2.0,
2001-10,11.4,
2002-01,13.0,
2002-04,3.6,
2002-07,2.5,
2002-10,7.8,
2003-01,13.2,
2003-04,0.1,
2003-07,5.4,
2003-10,23.1,
2004-01,9.2,
2004-04,1.5,
2004-07,7.5,
2004-10,12.6,
2005-01,3.3,
2005-04,4.9,
2005-07,4.0,
2005-10,-7.7,
2006-01,3.5,
2006-04,1.7,
2006-07,5.4,
2006-10,21.0,
2007-01,6.4,
2007-04,5.9,
2007-07,10.6,
2007-10,11.7,
2008-01,7.5,
2008-04,7.2,
2008-07,1.7,
2008-10,5.4,
2009-01,1.2,
2009-04,1.3,
2009-07,0.9,
2009-10,8.6,
2010-01,3.5,
2010-04,4.5,
2010-07,2.8,
2010-10,7.5,
2011-01,4.9,
2011-04,4.4,
2011-07,5.9,
2011-10,4.1,
2012-01,2.4,
2012-04,1.5,
2012-07,-4.0,
2012-10,9.4,
2013-01,1.0,
2013-04,2.1,
2013-07,1.6,
2013-10,5.8,
2014-01,2.2,
