"",BBK01.QUJ404,BBK01.QUJ404_FLAGS
"",Foreign branches: Short-term liabilities to non-residents / Slovenia / All currencies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:15,
1994-01,0.031,
1994-02,0.051,
1994-03,0.042,
1994-04,0.039,
1994-05,0.042,
1994-06,0.138,
1994-07,0.159,
1994-08,0.132,
1994-09,0.148,
1994-10,0.148,
1994-11,0.121,
1994-12,0.106,
1995-01,0.150,
1995-02,0.151,
1995-03,0.163,
1995-04,0.139,
1995-05,0.116,
1995-06,0.119,
1995-07,0.123,
1995-08,0.108,
1995-09,0.122,
1995-10,0.126,
1995-11,0.102,
1995-12,0.092,
1996-01,0.127,
1996-02,0.130,
1996-03,0.128,
1996-04,0.152,
1996-05,0.111,
1996-06,0.100,
1996-07,0.163,
1996-08,0.235,
1996-09,0.234,
1996-10,0.296,
1996-11,0.219,
1996-12,0.173,
1997-01,0.255,
1997-02,0.310,
1997-03,0.375,
1997-04,0.335,
1997-05,0.314,
1997-06,0.341,
1997-07,0.365,
1997-08,0.377,
1997-09,0.437,
1997-10,0.401,
1997-11,0.508,
1997-12,0.443,
1998-01,0.446,
1998-02,0.468,
1998-03,0.351,
1998-04,0.403,
1998-05,0.473,
1998-06,0.478,
1998-07,0.387,
1998-08,0.426,
1998-09,0.411,
1998-10,0.224,
1998-11,0.253,
1998-12,0.256,
1999-01,0.451,
1999-02,0.310,
1999-03,0.593,
1999-04,0.363,
1999-05,0.353,
1999-06,0.295,
1999-07,0.315,
1999-08,0.378,
1999-09,0.325,
1999-10,0.258,
1999-11,0.230,
1999-12,0.254,
2000-01,0.208,
2000-02,0.194,
2000-03,0.253,
2000-04,0.401,
2000-05,0.349,
2000-06,0.301,
2000-07,0.227,
2000-08,0.261,
2000-09,0.166,
2000-10,0.258,
2000-11,0.429,
2000-12,0.410,
2001-01,0.332,
2001-02,0.310,
2001-03,0.270,
2001-04,0.487,
2001-05,0.387,
2001-06,0.417,
2001-07,0.425,
2001-08,0.407,
2001-09,0.341,
2001-10,0.254,
2001-11,0.309,
2001-12,0.472,
2002-01,0.487,
2002-02,0.430,
2002-03,0.441,
2002-04,0.368,
2002-05,0.289,
2002-06,0.372,
2002-07,0.259,
2002-08,0.274,
2002-09,0.289,
2002-10,0.398,
2002-11,0.260,
2002-12,0.269,
2003-01,0.241,
2003-02,0.316,
2003-03,0.328,
2003-04,0.159,
2003-05,0.144,
2003-06,0.186,
2003-07,0.226,
2003-08,0.192,
2003-09,0.358,
2003-10,0.081,
2003-11,0.085,
2003-12,0.292,
2004-01,0.220,
2004-02,0.138,
2004-03,0.203,
2004-04,0.157,
2004-05,0.145,
2004-06,0.342,
2004-07,0.230,
2004-08,0.404,
2004-09,0.326,
2004-10,1.159,
2004-11,0.086,
2004-12,0.038,
2005-01,0.049,
2005-02,0.083,
2005-03,0.080,
2005-04,0.144,
2005-05,0.139,
2005-06,0.086,
2005-07,0.049,
2005-08,0.074,
2005-09,0.078,
2005-10,0.090,
2005-11,0.157,
2005-12,0.166,
2006-01,0.082,
2006-02,0.068,
2006-03,0.074,
2006-04,0.068,
2006-05,0.050,
2006-06,0.066,
2006-07,0.049,
2006-08,0.006,
2006-09,0.009,
2006-10,0.006,
2006-11,0.036,
2006-12,0.033,
2007-01,0.006,
2007-02,0.031,
2007-03,0.007,
2007-04,0.046,
2007-05,0.018,
2007-06,0.023,
2007-07,0.088,
2007-08,0.020,
2007-09,0.027,
2007-10,0.010,
2007-11,0.060,
2007-12,0.025,
2008-01,0.017,
2008-02,0.024,
2008-03,0.057,
2008-04,0.042,
2008-05,0.035,
2008-06,0.057,
2008-07,0.032,
2008-08,0.048,
2008-09,0.023,
2008-10,0.045,
2008-11,0.043,
2008-12,0.021,
2009-01,0.018,
2009-02,0.023,
2009-03,0.015,
2009-04,0.060,
2009-05,0.050,
2009-06,0.069,
2009-07,0.030,
2009-08,0.031,
2009-09,0.040,
2009-10,0.039,
2009-11,0.029,
2009-12,0.043,
2010-01,0.027,
2010-02,0.027,
2010-03,0.027,
2010-04,0.032,
2010-05,0.037,
2010-06,0.037,
2010-07,0.037,
2010-08,0.027,
2010-09,0.027,
2010-10,0.027,
2010-11,0.045,
2010-12,0.028,
2011-01,0.028,
2011-02,0.051,
2011-03,0.037,
2011-04,0.043,
2011-05,0.046,
2011-06,0.042,
2011-07,0.051,
2011-08,0.048,
2011-09,0.042,
2011-10,0.016,
2011-11,0.016,
2011-12,0.016,
2012-01,0.026,
2012-02,0.026,
2012-03,0.028,
2012-04,0.029,
2012-05,0.034,
2012-06,0.019,
2012-07,0.020,
2012-08,0.015,
2012-09,0.003,
2012-10,0.013,
2012-11,0.018,
2012-12,0.054,
2013-01,0.064,
2013-02,0.040,
2013-03,0.030,
2013-04,0.041,
2013-05,0.061,
2013-06,0.135,
2013-07,0.172,
2013-08,0.199,
2013-09,0.187,
2013-10,0.214,
2013-11,0.217,
2013-12,0.243,
2014-01,0.240,
2014-02,0.252,
2014-03,0.284,
2014-04,0.283,
2014-05,0.254,
2014-06,0.285,
2014-07,0.262,
2014-08,0.244,
2014-09,0.201,
2014-10,0.142,
2014-11,0.123,
