"",BBK01.OUU050,BBK01.OUU050_FLAGS
"",Time deposits of non-profit institutions / Total / Building and loan associations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:20:58,
1999-01,0.188,
1999-02,0.193,
1999-03,0.195,
1999-04,0.201,
1999-05,0.197,
1999-06,0.192,
1999-07,0.201,
1999-08,0.223,
1999-09,0.214,
1999-10,0.201,
1999-11,0.199,
1999-12,0.221,
2000-01,0.191,
2000-02,0.218,
2000-03,0.210,
2000-04,0.210,
2000-05,0.204,
2000-06,0.193,
2000-07,0.195,
2000-08,0.194,
2000-09,0.194,
2000-10,0.190,
2000-11,0.190,
2000-12,0.189,
2001-01,0.182,
2001-02,0.185,
2001-03,0.175,
2001-04,0.168,
2001-05,0.166,
2001-06,0.162,
2001-07,0.160,
2001-08,0.158,
2001-09,0.159,
2001-10,0.159,
2001-11,0.157,
2001-12,0.160,
2002-01,0.162,
2002-02,0.162,
2002-03,0.163,
2002-04,0.160,
2002-05,0.161,
2002-06,0.162,
2002-07,0.161,
2002-08,0.157,
2002-09,0.163,
2002-10,0.145,
2002-11,0.142,
2002-12,0.146,
2003-01,0.141,
2003-02,0.138,
2003-03,0.140,
2003-04,0.144,
2003-05,0.146,
2003-06,0.145,
2003-07,0.144,
2003-08,0.148,
2003-09,0.151,
2003-10,0.155,
2003-11,0.146,
2003-12,0.150,
2004-01,0.155,
2004-02,0.157,
2004-03,0.160,
2004-04,0.162,
2004-05,0.161,
2004-06,0.159,
2004-07,0.167,
2004-08,0.169,
2004-09,0.172,
2004-10,0.174,
2004-11,0.177,
2004-12,0.187,
2005-01,0.192,
2005-02,0.203,
2005-03,0.202,
2005-04,0.196,
2005-05,0.207,
2005-06,0.208,
2005-07,0.209,
2005-08,0.219,
2005-09,0.221,
2005-10,0.222,
2005-11,0.218,
2005-12,0.218,
2006-01,0.218,
2006-02,0.208,
2006-03,0.197,
2006-04,0.197,
2006-05,0.197,
2006-06,0.200,
2006-07,0.199,
2006-08,0.196,
2006-09,0.195,
2006-10,0.193,
2006-11,0.198,
2006-12,0.199,
2007-01,0.198,
2007-02,0.198,
2007-03,0.196,
2007-04,0.197,
2007-05,0.195,
2007-06,0.188,
2007-07,0.194,
2007-08,0.196,
2007-09,0.201,
2007-10,0.199,
2007-11,0.194,
2007-12,0.198,
2008-01,0.197,
2008-02,0.201,
2008-03,0.201,
2008-04,0.200,
2008-05,0.203,
2008-06,0.204,
2008-07,0.205,
2008-08,0.202,
2008-09,0.202,
2008-10,0.200,
2008-11,0.201,
2008-12,0.202,
2009-01,0.201,
2009-02,0.203,
2009-03,0.203,
2009-04,0.206,
2009-05,0.208,
2009-06,0.206,
2009-07,0.207,
2009-08,0.208,
2009-09,0.209,
2009-10,0.211,
2009-11,0.208,
2009-12,0.201,
2010-01,0.204,
2010-02,0.205,
2010-03,0.196,
2010-04,0.204,
2010-05,0.202,
2010-06,0.204,
2010-07,0.207,
2010-08,0.209,
2010-09,0.208,
2010-10,0.207,
2010-11,0.207,
2010-12,0.212,
2011-01,0.210,
2011-02,0.212,
2011-03,0.217,
2011-04,0.218,
2011-05,0.221,
2011-06,0.219,
2011-07,0.220,
2011-08,0.219,
2011-09,0.222,
2011-10,0.222,
2011-11,0.222,
2011-12,0.223,
2012-01,0.224,
2012-02,0.223,
2012-03,0.221,
2012-04,0.221,
2012-05,0.215,
2012-06,0.219,
2012-07,0.221,
2012-08,0.222,
2012-09,0.219,
2012-10,0.218,
2012-11,0.218,
2012-12,0.221,
2013-01,0.225,
2013-02,0.226,
2013-03,0.228,
2013-04,0.229,
2013-05,0.229,
2013-06,0.228,
2013-07,0.227,
2013-08,0.227,
2013-09,0.225,
2013-10,0.224,
2013-11,0.221,
2013-12,0.226,
2014-01,0.229,
2014-02,0.233,
2014-03,0.231,
2014-04,0.233,
2014-05,0.232,
2014-06,0.233,
2014-07,0.235,
2014-08,0.234,
2014-09,0.233,
2014-10,0.232,
2014-11,0.233,
2014-12,0.217,Provisional value
