"",BBK01.OEHO06V,BBK01.OEHO06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:20,
2002-01,17.773,
2002-04,17.468,
2002-07,17.443,
2002-10,17.942,
2003-01,18.016,
2003-04,17.854,
2003-07,17.757,
2003-10,18.097,
2004-01,17.997,
2004-04,17.848,
2004-07,17.776,
2004-10,18.154,
2005-01,18.177,
2005-04,18.051,
2005-07,17.931,
2005-10,18.188,
2006-01,18.123,
2006-04,17.946,
2006-07,17.716,
2006-10,17.896,
2007-01,17.698,
2007-04,17.382,
2007-07,17.157,
2007-10,17.275,
2008-01,16.950,
2008-04,16.570,
2008-07,16.273,
2008-10,16.661,
2009-01,16.827,
2009-04,16.767,
2009-07,16.711,
2009-10,17.015,
2010-01,17.033,
2010-04,16.999,
2010-07,16.977,
2010-10,17.265,
2011-01,17.226,
2011-04,17.003,
2011-07,16.965,
2011-10,17.140,
2012-01,17.167,
2012-04,17.305,
2012-07,17.383,
2012-10,17.649,
2013-01,17.717,
2013-04,17.611,
2013-07,17.537,
2013-10,17.662,
2014-01,17.703,
2014-04,17.692,
2014-07,17.687,
