"",BBSF2.M.1.T.00000.DAK01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:29,
2009-09,1,
2009-10,1,
2009-11,0,
2009-12,0,
2010-01,0,
2010-02,1,
2010-03,0,
2010-04,0,
2010-05,1,
2010-06,1,
2010-07,1,
2010-08,0,
2010-09,0,
2010-10,13,
2010-11,2,
2010-12,2,
2011-01,1,
2011-02,3,
2011-03,16,
2011-04,0,
2011-05,0,
2011-06,3,
2011-07,5,
2011-08,3,
2011-09,1,
2011-10,2,
2011-11,0,
2011-12,1,
2012-01,3,
2012-02,2,
2012-03,1,
2012-04,0,
2012-05,1,
2012-06,2,
2012-07,2,
2012-08,2,
2012-09,1,
2012-10,1,
2012-11,6,
2012-12,2,
2013-01,2,
2013-02,0,
2013-03,0,
2013-04,0,
2013-05,0,
2013-06,0,
2013-07,0,
2013-08,0,
2013-09,0,
2013-10,1,
2013-11,1,
2013-12,0,
2014-01,1,
2014-02,5,
2014-03,1,
2014-04,1,
2014-05,1,
2014-06,0,
2014-07,0,
2014-08,0,
2014-09,1,
2014-10,0,
2014-11,5,
