"",BBFN1.M.DE.N.1.A.NZ.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NZ.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / New Zealand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:43,
1975-12,0.003,
1976-01,0.003,
1976-02,0.003,
1976-03,0.003,
1976-04,0.003,
1976-05,0.002,
1976-06,0.002,
1976-07,0.002,
1976-08,0.002,
1976-09,0.001,
1976-10,0.002,
1976-11,0.002,
1976-12,0.002,
1977-01,0.002,
1977-02,0.002,
1977-03,0.002,
1977-04,0.002,
1977-05,0.002,
1977-06,0.003,
1977-07,0.002,
1977-08,0.003,
1977-09,0.003,
1977-10,0.003,
1977-11,0.003,
1977-12,0.003,
1978-01,0.004,
1978-02,0.003,
1978-03,0.004,
1978-04,0.003,
1978-05,0.006,
1978-06,0.002,
1978-07,0.002,
1978-08,0.002,
1978-09,0.002,
1978-10,0.002,
1978-11,0.002,
1978-12,0.004,
1979-01,0.002,
1979-02,0.002,
1979-03,0.002,
1979-04,0.001,
1979-05,0.004,
1979-06,0.003,
1979-07,0.003,
1979-08,0.002,
1979-09,0.002,
1979-10,0.002,
1979-11,0.002,
1979-12,0.003,
1980-01,0.003,
1980-02,0.002,
1980-03,0.003,
1980-04,0.003,
1980-05,0.003,
1980-06,0.003,
1980-07,0.004,
1980-08,0.002,
1980-09,0.002,
1980-10,0.001,
1980-11,0.001,
1980-12,0.001,
1981-01,0.002,
1981-02,0.002,
1981-03,0.003,
1981-04,0.004,
1981-05,0.005,
1981-06,0.005,
1981-07,0.006,
1981-08,0.004,
1981-09,0.004,
1981-10,0.005,
1981-11,0.004,
1981-12,0.003,
1982-01,0.005,
1982-02,0.004,
1982-03,0.004,
1982-04,0.012,
1982-05,0.003,
1982-06,0.004,
1982-07,0.003,
1982-08,0.004,
1982-09,0.004,
1982-10,0.004,
1982-11,0.003,
1982-12,0.003,
1983-01,0.003,
1983-02,0.003,
1983-03,0.005,
1983-04,0.003,
1983-05,0.005,
1983-06,0.006,
1983-07,0.004,
1983-08,0.006,
1983-09,0.004,
1983-10,0.006,
1983-11,0.005,
1983-12,0.004,
1984-01,0.006,
1984-02,0.006,
1984-03,0.007,
