"",BBK01.CEBPN0,BBK01.CEBPN0_FLAGS
"",Time deposits debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:55,
1991-01,251.7,
1991-04,238.9,
1991-07,230.7,
1991-10,246.7,
1992-01,247.8,
1992-04,233.2,
1992-07,218.9,
1992-10,248.0,
1993-01,260.7,
1993-04,272.9,
1993-07,281.8,
1993-10,327.1,
1994-01,304.9,
1994-04,283.3,
1994-07,285.8,
1994-10,306.8,
1995-01,297.2,
1995-04,318.8,
1995-07,327.7,
1995-10,320.6,
1996-01,321.5,
1996-04,323.8,
1996-07,310.3,
1996-10,339.6,
1997-01,356.0,
1997-04,355.8,
1997-07,355.7,
1997-10,372.6,
1998-01,379.6,
1998-04,385.1,
1998-07,372.1,
1998-10,400.5,
1999-01,367.7,
1999-04,369.0,
1999-07,382.2,
1999-10,391.2,
2000-01,400.9,
2000-04,397.9,
2000-07,441.3,
2000-10,439.1,
2001-01,446.5,
2001-04,430.5,
2001-07,458.5,
2001-10,495.5,
2002-01,500.5,
2002-04,503.8,
2002-07,551.5,
2002-10,562.4,
2003-01,604.5,
2003-04,648.7,
2003-07,621.5,
2003-10,637.2,
2004-01,658.8,
2004-04,678.0,
2004-07,673.4,
2004-10,753.7,
2005-01,769.1,
2005-04,791.6,
2005-07,835.7,
2005-10,853.5,
2006-01,898.1,
2006-04,946.6,
2006-07,954.7,
2006-10,974.1,
2007-01,984.4,
2007-04,1044.5,
2007-07,1064.8,
2007-10,1113.3,
2008-01,1101.2,
2008-04,1094.7,
2008-07,1146.1,
2008-10,1107.2,
2009-01,1052.9,
2009-04,1047.5,
2009-07,977.6,
2009-10,1021.2,
2010-01,996.0,
2010-04,1021.1,
2010-07,980.2,
2010-10,941.9,
2011-01,888.6,
2011-04,895.8,
2011-07,935.6,
2011-10,933.2,
2012-01,906.5,
2012-04,902.8,
2012-07,890.6,
2012-10,864.2,
2013-01,857.4,
2013-04,848.9,
2013-07,809.4,
2013-10,820.5,
2014-01,861.6,
