"",BBK01.CELP0L,BBK01.CELP0L_FLAGS
"",Time deposits debtor: Total            creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:30,
1999-01,1.3,
1999-04,0.5,
1999-07,1.4,
1999-10,1.5,
2000-01,1.6,
2000-04,0.8,
2000-07,0.2,
2000-10,0.5,
2001-01,0.9,
2001-04,0.7,
2001-07,0.4,
2001-10,0.6,
2002-01,0.6,
2002-04,0.0,
2002-07,0.2,
2002-10,1.5,
2003-01,0.6,
2003-04,-0.1,
2003-07,1.2,
2003-10,0.9,
2004-01,1.2,
2004-04,2.2,
2004-07,1.2,
2004-10,2.6,
2005-01,1.4,
2005-04,0.7,
2005-07,0.8,
2005-10,1.5,
2006-01,0.4,
2006-04,1.5,
2006-07,1.9,
2006-10,3.6,
2007-01,-0.1,
2007-04,1.9,
2007-07,1.6,
2007-10,2.5,
2008-01,1.2,
2008-04,1.2,
2008-07,-0.1,
2008-10,0.5,
2009-01,2.2,
2009-04,-0.2,
2009-07,0.3,
2009-10,-1.2,
2010-01,-0.8,
2010-04,-2.0,
2010-07,-1.4,
2010-10,-0.7,
2011-01,0.0,
2011-04,-0.4,
2011-07,-0.1,
2011-10,-1.6,
2012-01,-1.5,
2012-04,-1.5,
2012-07,-0.8,
2012-10,-2.1,
2013-01,4.1,
2013-04,-0.5,
2013-07,-1.9,
2013-10,-0.5,
2014-01,-1.6,
2014-04,-1.3,
2014-07,-1.9,
