"",BBK01.TYI312,BBK01.TYI312_FLAGS
"",Lending to enterprises and households / of which Securities / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:51,
1980-01,0,
1980-02,71,
1980-03,18,
1980-04,-15,
1980-05,33,
1980-06,2,
1980-07,-123,
1980-08,181,
1980-09,-155,
1980-10,237,
1980-11,191,
1980-12,10,
1981-01,-281,
1981-02,52,
1981-03,-257,
1981-04,71,
1981-05,46,
1981-06,65,
1981-07,17,
1981-08,160,
1981-09,-77,
1981-10,426,
1981-11,-52,
1981-12,-474,
1982-01,377,
1982-02,59,
1982-03,-135,
1982-04,-8,
1982-05,363,
1982-06,605,
1982-07,-68,
1982-08,19,
1982-09,275,
1982-10,304,
1982-11,-326,
1982-12,-323,
1983-01,-9,
1983-02,-134,
1983-03,163,
1983-04,10,
1983-05,-55,
1983-06,103,
1983-07,10,
1983-08,208,
1983-09,348,
1983-10,45,
1983-11,77,
1983-12,189,
1984-01,97,
1984-02,240,
1984-03,204,
1984-04,-77,
1984-05,306,
1984-06,-24,
1984-07,90,
1984-08,-104,
1984-09,173,
1984-10,-42,
1984-11,-17,
1984-12,651,
1985-01,514,
1985-02,86,
1985-03,-146,
1985-04,-97,
1985-05,414,
1985-06,231,
1985-07,132,
1985-08,-288,
1985-09,736,
1985-10,292,
1985-11,-43,
1985-12,193,
1986-01,366,
1986-02,-349,
1986-03,281,
1986-04,624,
1986-05,248,
1986-06,884,
1986-07,513,
1986-08,-486,
1986-09,-79,
1986-10,300,
1986-11,496,
1986-12,-643,
1987-01,206,
1987-02,662,
1987-03,398,
1987-04,-443,
1987-05,1,
1987-06,935,
1987-07,540,
1987-08,853,
1987-09,504,
1987-10,421,
1987-11,269,
1987-12,398,
1988-01,-1087,
1988-02,631,
1988-03,27,
1988-04,443,
1988-05,167,
1988-06,0,
1988-07,174,
1988-08,-76,
1988-09,335,
1988-10,100,
1988-11,1283,
1988-12,0,
1989-01,137,
1989-02,303,
1989-03,430,
1989-04,240,
1989-05,-221,
1989-06,-24,
1989-07,247,
1989-08,1,
1989-09,607,
1989-10,1064,
1989-11,-112,
1989-12,1234,
1990-01,1972,
1990-02,183,
1990-03,1253,
1990-04,673,
1990-05,-19,
1990-06,-102,
1990-07,1042,
1990-08,809,
1990-09,703,
1990-10,885,
1990-11,428,
1990-12,225,
1991-01,-1374,
1991-02,447,
1991-03,1107,
1991-04,827,
1991-05,217,
1991-06,1572,
1991-07,250,
1991-08,833,
1991-09,1103,
1991-10,895,
1991-11,1276,
1991-12,700,
1992-01,-347,
1992-02,2704,
1992-03,1711,
1992-04,577,
1992-05,246,
1992-06,2727,
1992-07,-799,
1992-08,1065,
1992-09,1411,
1992-10,1597,
1992-11,1786,
1992-12,3485,
1993-01,5470,
1993-02,1094,
1993-03,3250,
1993-04,1466,
1993-05,298,
1993-06,1432,
1993-07,-96,
1993-08,-627,
1993-09,4289,
1993-10,3095,
1993-11,835,
1993-12,6816,
1994-01,2298,
1994-02,1362,
1994-03,3065,
1994-04,4547,
