"",BBEX3.M.BSD.USD.CA.AA.A01,BBEX3.M.BSD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in the Bahamas / USD 1 = BSD ... (buying),
unit,BSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:25,
1991-05,0.9950,
1991-06,0.9950,
1991-07,0.9950,
1991-08,0.9950,
1991-09,0.9950,
1991-10,0.9950,
1991-11,0.9950,
1991-12,0.9950,
1992-01,0.9950,
1992-02,0.9950,
1992-03,0.9950,
1992-04,0.9950,
1992-05,0.9950,
1992-06,0.9950,
1992-07,0.9950,
1992-08,0.9950,
1992-09,0.9950,
1992-10,0.9950,
1992-11,0.9950,
1992-12,0.9950,
1993-01,0.9950,
1993-02,0.9950,
1993-03,0.9950,
1993-04,0.9950,
1993-05,0.9950,
1993-06,0.9950,
1993-07,0.9950,
1993-08,0.9950,
1993-09,0.9950,
1993-10,0.9950,
1993-11,0.9950,
1993-12,0.9950,
1994-01,0.9950,
1994-02,0.9950,
1994-03,0.9950,
1994-04,0.9950,
1994-05,0.9950,
1994-06,0.9950,
1994-07,0.9950,
1994-08,0.9950,
1994-09,0.9950,
1994-10,0.9950,
1994-11,0.9950,
1994-12,0.9950,
1995-01,0.9950,
1995-02,0.9950,
1995-03,0.9950,
1995-04,0.9950,
1995-05,0.9950,
1995-06,0.9950,
1995-07,0.9950,
1995-08,0.9950,
1995-09,0.9950,
1995-10,0.9950,
1995-11,0.9950,
1995-12,0.9950,
1996-01,0.9950,
1996-02,0.9950,
1996-03,0.9950,
1996-04,0.9950,
1996-05,0.9950,
1996-06,0.9950,
1996-07,0.9950,
1996-08,0.9950,
1996-09,0.9950,
1996-10,0.9950,
1996-11,0.9950,
1996-12,0.9950,
1997-01,0.9950,
1997-02,0.9950,
1997-03,0.9950,
1997-04,0.9950,
1997-05,0.9950,
1997-06,0.9950,
1997-07,0.9950,
1997-08,0.9950,
1997-09,0.9950,
1997-10,0.9950,
1997-11,0.9950,
1997-12,0.9950,
1998-01,0.9950,
1998-02,0.9950,
1998-03,0.9950,
1998-04,0.9950,
1998-05,0.9950,
1998-06,0.9950,
1998-07,0.9950,
1998-08,0.9950,
1998-09,0.9950,
1998-10,0.9950,
1998-11,0.9950,
1998-12,0.9950,
1999-01,0.9950,
1999-02,0.9950,
1999-03,0.9950,
1999-04,0.9950,
1999-05,0.9950,
1999-06,0.9950,
1999-07,0.9950,
1999-08,0.9950,
1999-09,0.9950,
1999-10,0.9950,
1999-11,0.9950,
1999-12,0.9950,
2000-01,0.9950,
2000-02,0.9950,
2000-03,0.9950,
2000-04,0.9950,
2000-05,0.9950,
2000-06,0.9950,
2000-07,0.9950,
2000-08,0.9950,
2000-09,0.9950,
2000-10,0.9950,
2000-11,0.9950,
2000-12,0.9950,
2001-01,0.9950,
2001-02,0.9950,
2001-03,0.9950,
2001-04,0.9950,
2001-05,0.9950,
2001-06,0.9950,
2001-07,0.9950,
2001-08,0.9950,
2001-09,0.9950,
2001-10,0.9950,
2001-11,0.9950,
2001-12,0.9950,
2002-01,0.9950,
2002-02,0.9950,
2002-03,0.9950,
2002-04,0.9950,
2002-05,0.9950,
2002-06,0.9950,
2002-07,0.9950,
2002-08,0.9950,
2002-09,0.9950,
2002-10,0.9950,
2002-11,0.9950,
2002-12,0.9950,
2003-01,0.9950,
2003-02,0.9950,
2003-03,0.9950,
2003-04,0.9950,
2003-05,0.9950,
2003-06,0.9950,
2003-07,0.9950,
2003-08,0.9950,
2003-09,0.9950,
2003-10,0.9950,
2003-11,0.9950,
2003-12,0.9950,
2004-01,0.9950,
2004-02,0.9950,
2004-03,0.9950,
2004-04,0.9950,
2004-05,0.9950,
2004-06,0.9950,
2004-07,0.9950,
2004-08,0.9950,
2004-09,0.9950,
2004-10,0.9950,
2004-11,0.9950,
2004-12,0.9950,
2005-01,0.9950,
2005-02,0.9950,
2005-03,0.9950,
2005-04,0.9950,
2005-05,0.9950,
2005-06,0.9950,
2005-07,0.9950,
2005-08,0.9950,
2005-09,0.9950,
2005-10,0.9950,
2005-11,0.9950,
2005-12,0.9950,
2006-01,0.9950,
2006-02,0.9950,
2006-03,0.9950,
2006-04,0.9950,
2006-05,0.9950,
2006-06,0.9950,
2006-07,0.9950,
