"",BBK01.CEHH30,BBK01.CEHH30_FLAGS
"",Shares debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:01,
1991-01,1.1,
1991-04,1.3,
1991-07,0.4,
1991-10,1.1,
1992-01,1.0,
1992-04,2.0,
1992-07,0.5,
1992-10,1.1,
1993-01,1.2,
1993-04,1.8,
1993-07,0.9,
1993-10,1.5,
1994-01,4.2,
1994-04,1.3,
1994-07,0.7,
1994-10,1.2,
1995-01,0.7,
1995-04,1.4,
1995-07,1.0,
1995-10,1.6,
1996-01,0.4,
1996-04,1.5,
1996-07,0.9,
1996-10,1.3,
1997-01,1.8,
1997-04,2.6,
1997-07,2.3,
1997-10,3.3,
1998-01,1.8,
1998-04,1.8,
1998-07,0.6,
1998-10,1.9,
1999-01,0.8,
1999-04,3.4,
1999-07,1.7,
1999-10,2.3,
2000-01,1.1,
2000-04,1.2,
2000-07,1.2,
2000-10,9.3,
2001-01,4.2,
2001-04,0.8,
2001-07,0.3,
2001-10,4.3,
2002-01,0.9,
2002-04,0.2,
2002-07,0.3,
2002-10,-0.1,
2003-01,2.0,
2003-04,-1.5,
2003-07,0.1,
2003-10,1.0,
2004-01,0.0,
2004-04,1.7,
2004-07,-1.4,
2004-10,2.4,
2005-01,-0.5,
2005-04,-1.2,
2005-07,2.1,
2005-10,2.5,
2006-01,0.2,
2006-04,-0.4,
2006-07,1.5,
2006-10,0.2,
2007-01,-0.2,
2007-04,-1.4,
2007-07,-0.2,
2007-10,-0.7,
2008-01,-0.8,
2008-04,-2.0,
2008-07,2.4,
2008-10,3.0,
2009-01,1.5,
2009-04,2.3,
2009-07,-1.5,
2009-10,-0.3,
2010-01,-0.8,
2010-04,-2.5,
2010-07,-0.2,
2010-10,9.7,
2011-01,0.7,
2011-04,8.5,
2011-07,-0.9,
2011-10,-0.6,
2012-01,-0.3,
2012-04,-1.2,
2012-07,-0.9,
2012-10,-0.3,
2013-01,0.0,
2013-04,0.2,
2013-07,-0.5,
2013-10,-0.2,
2014-01,-0.1,
