"",BBK01.OU6157,BBK01.OU6157_FLAGS
1991-11,0.053,
1991-12,0.057,
1992-01,0.105,
1992-02,0.107,
1992-03,0.120,
1992-04,0.087,
1992-05,0.105,
1992-06,0.129,
1992-07,0.085,
1992-08,0.082,
1992-09,0.085,
1992-10,0.118,
1992-11,0.115,
1992-12,0.137,
1993-01,0.144,
1993-02,0.135,
1993-03,0.125,
1993-04,0.125,
1993-05,0.107,
1993-06,0.125,
1993-07,0.129,
1993-08,0.118,
1993-09,0.124,
1993-10,0.103,
1993-11,0.126,
1993-12,0.024,
1994-01,0.025,
1994-02,0.027,
1994-03,0.029,
1994-04,0.030,
1994-05,0.021,
1994-06,0.038,
1994-07,0.033,
1994-08,0.028,
1994-09,0.030,
1994-10,0.029,
1994-11,0.027,
1994-12,0.028,
1995-01,0.030,
1995-02,0.026,
1995-03,0.024,
1995-04,0.030,
1995-05,0.020,
1995-06,0.019,
1995-07,0.018,
1995-08,0.019,
1995-09,0.020,
1995-10,0.017,
1995-11,0.017,
1995-12,0.032,
1996-01,0.026,
1996-02,0.026,
1996-03,0.025,
1996-04,0.020,
1996-05,0.021,
1996-06,0.020,
1996-07,0.017,
1996-08,0.017,
1996-09,0.016,
1996-10,0.020,
1996-11,0.020,
1996-12,0.022,
1997-01,0.026,
1997-02,0.025,
1997-03,0.028,
1997-04,0.040,
1997-05,0.039,
1997-06,0.049,
1997-07,0.040,
1997-08,0.059,
1997-09,0.046,
1997-10,0.043,
1997-11,0.038,
1997-12,0.043,
1998-01,0.050,
1998-02,0.034,
1998-03,0.032,
1998-04,0.031,
1998-05,0.032,
1998-06,0.037,
1998-07,0.046,
1998-08,0.032,
1998-09,0.040,
1998-10,0.042,
1998-11,0.034,
1998-12,0.041,
1999-01,0.041,
1999-02,0.050,
1999-03,0.042,
1999-04,0.042,
1999-05,0.040,
1999-06,0.057,
1999-07,0.058,
1999-08,0.051,
1999-09,0.056,
1999-10,0.054,
1999-11,0.065,
1999-12,0.045,
2000-01,0.047,
2000-02,0.046,
2000-03,0.056,
2000-04,0.045,
2000-05,0.050,
2000-06,0.050,
2000-07,0.050,
2000-08,0.047,
2000-09,0.047,
2000-10,0.044,
2000-11,0.052,
2000-12,0.048,
2001-01,0.050,
2001-02,0.038,
2001-03,0.038,
2001-04,0.040,
2001-05,0.089,
2001-06,0.071,
2001-07,0.041,
2001-08,0.037,
2001-09,0.043,
2001-10,0.051,
2001-11,0.053,
2001-12,0.049,
2002-01,0.047,
2002-02,0.041,
2002-03,0.033,
2002-04,0.040,
2002-05,0.037,
2002-06,0.040,
2002-07,0.041,
2002-08,0.044,
2002-09,0.039,
2002-10,0.029,
2002-11,0.133,
2002-12,0.058,
2003-01,0.032,
2003-02,0.029,
2003-03,0.034,
2003-04,0.041,
2003-05,0.027,
2003-06,0.024,
2003-07,0.022,
2003-08,0.074,
2003-09,0.073,
2003-10,0.071,
2003-11,0.076,
2003-12,0.047,
2004-01,0.044,
2004-02,0.048,
2004-03,0.042,
2004-04,0.043,
2004-05,0.043,
2004-06,0.044,
2004-07,0.040,
2004-08,0.036,
2004-09,0.042,
2004-10,0.037,
2004-11,0.038,
2004-12,0.038,
2005-01,0.037,
2005-02,0.011,
2005-03,0.012,
2005-04,0.012,
2005-05,0.018,
2005-06,0.019,
2005-07,0.017,
2005-08,0.016,
2005-09,0.016,
2005-10,0.016,
2005-11,0.016,
2005-12,0.018,
2006-01,0.006,
2006-02,0.007,
2006-03,0.007,
2006-04,0.008,
2006-05,0.008,
2006-06,0.010,
2006-07,0.008,
2006-08,0.009,
2006-09,0.013,
2006-10,0.017,
2006-11,0.018,
2006-12,0.021,
2007-01,0.021,
2007-02,0.023,
2007-03,0.012,
2007-04,0.013,
2007-05,0.013,
2007-06,0.012,
2007-07,0.011,
2007-08,0.012,
2007-09,0.010,
2007-10,0.009,
2007-11,0.014,
2007-12,0.013,
2008-01,0.013,
2008-02,0.013,
2008-03,0.012,
2008-04,0.014,
2008-05,0.015,
2008-06,0.023,
2008-07,0.023,
2008-08,0.024,
2008-09,0.020,
2008-10,0.036,
2008-11,0.036,
2008-12,0.035,
2009-01,0.035,
2009-02,0.031,
2009-03,0.033,
2009-04,0.033,
2009-05,0.033,
2009-06,0.034,
2009-07,0.031,
2009-08,0.032,
2009-09,0.034,
2009-10,0.035,
2009-11,0.340,
2009-12,0.093,
2010-01,0.077,
2010-02,0.068,
2010-03,0.063,
2010-04,0.055,
2010-05,0.057,
2010-06,0.049,
2010-07,0.050,
2010-08,0.050,
2010-09,0.049,
2010-10,0.047,
2010-11,0.064,
2010-12,0.057,
2011-01,0.057,
2011-02,0.051,
2011-03,0.064,
2011-04,0.052,
2011-05,0.052,
2011-06,0.053,
2011-07,0.052,
2011-08,0.053,
2011-09,0.054,
2011-10,0.056,
2011-11,0.050,
2011-12,0.050,
2012-01,0.052,
2012-02,0.055,
2012-03,0.063,
2012-04,0.050,
2012-05,0.050,
2012-06,0.051,
2012-07,0.050,
2012-08,0.004,
2012-09,0.050,
2012-10,0.050,
2012-11,0.049,
2012-12,0.051,
2013-01,0.049,
2013-02,0.049,
2013-03,0.051,
2013-04,0.053,
2013-05,0.048,
2013-06,0.050,
2013-07,0.048,
2013-08,0.049,
2013-09,0.049,
2013-10,0.048,
2013-11,0.048,
2013-12,0.051,
2014-01,0.049,
2014-02,0.049,
2014-03,0.049,
2014-04,0.049,
2014-05,0.049,
2014-06,0.049,
2014-07,0.049,
2014-08,0.051,
2014-09,0.049,
2014-10,0.050,
2014-11,0.051,
2014-12,0.050,Provisional value
