"",BBK01.OEAH06P,BBK01.OEAH06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:27,
2002-01,0.137,
2002-04,0.161,
2002-07,0.124,
2002-10,0.125,
2003-01,0.109,
2003-04,0.084,
2003-07,0.094,
2003-10,0.083,
2004-01,0.068,
2004-04,0.097,
2004-07,0.112,
2004-10,0.116,
2005-01,0.185,
2005-04,0.188,
2005-07,0.137,
2005-10,0.153,
2006-01,0.158,
2006-04,0.129,
2006-07,0.079,
2006-10,0.057,
2007-01,0.055,
2007-04,0.066,
2007-07,0.086,
2007-10,0.131,
2008-01,0.156,
2008-04,0.222,
2008-07,0.256,
2008-10,0.237,
2009-01,0.230,
2009-04,0.233,
2009-07,0.206,
2009-10,0.198,
2010-01,0.201,
2010-04,0.118,
2010-07,0.108,
2010-10,0.131,
2011-01,0.110,
2011-04,0.118,
2011-07,0.171,
2011-10,0.168,
2012-01,0.184,
2012-04,0.175,
2012-07,0.146,
2012-10,0.108,
2013-01,0.108,
2013-04,0.091,
2013-07,0.071,
2013-10,0.072,
2014-01,0.046,
2014-04,0.040,
2014-07,0.041,
