"",BBK01.CEHP0N,BBK01.CEHP0N_FLAGS
"",Time deposits debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:23,
1991-01,2.8,
1991-04,-2.5,
1991-07,5.4,
1991-10,-0.1,
1992-01,5.1,
1992-04,7.1,
1992-07,17.3,
1992-10,0.0,
1993-01,0.1,
1993-04,6.7,
1993-07,2.6,
1993-10,10.2,
1994-01,5.6,
1994-04,5.5,
1994-07,10.7,
1994-10,15.3,
1995-01,21.1,
1995-04,16.2,
1995-07,14.1,
1995-10,2.7,
1996-01,10.7,
1996-04,-3.6,
1996-07,-1.3,
1996-10,2.3,
1997-01,30.8,
1997-04,19.3,
1997-07,2.9,
1997-10,15.6,
1998-01,25.9,
1998-04,15.5,
1998-07,25.5,
1998-10,25.5,
1999-01,5.1,
1999-04,11.8,
1999-07,31.6,
1999-10,50.6,
2000-01,16.7,
2000-04,0.5,
2000-07,-5.2,
2000-10,42.1,
2001-01,77.2,
2001-04,-14.8,
2001-07,3.9,
2001-10,12.3,
2002-01,-18.0,
2002-04,-14.9,
2002-07,27.8,
2002-10,16.6,
2003-01,-0.5,
2003-04,-13.9,
2003-07,-4.9,
2003-10,33.4,
2004-01,-13.3,
2004-04,-44.1,
2004-07,23.5,
2004-10,65.6,
2005-01,-28.2,
2005-04,-24.3,
2005-07,15.3,
2005-10,24.5,
2006-01,-3.1,
2006-04,-30.9,
2006-07,10.1,
2006-10,-6.4,
2007-01,-2.5,
2007-04,-2.3,
2007-07,54.2,
2007-10,25.1,
2008-01,0.7,
2008-04,-33.6,
2008-07,5.0,
2008-10,-107.8,
2009-01,-81.7,
2009-04,6.7,
2009-07,-12.7,
2009-10,-14.9,
2010-01,-23.9,
2010-04,8.0,
2010-07,36.7,
2010-10,5.7,
2011-01,-44.3,
2011-04,-43.1,
2011-07,28.9,
2011-10,-33.4,
2012-01,97.3,
2012-04,-35.9,
2012-07,-40.6,
2012-10,-37.8,
2013-01,-4.0,
2013-04,-19.0,
2013-07,-52.6,
2013-10,-23.5,
2014-01,5.4,
