"",BBK01.OUK302,BBK01.OUK302_FLAGS
"",Time deposits of local government and local government associations / for more than two years / Regional institutions of credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:25:45,
1999-01,0.045,
1999-02,0.045,
1999-03,0.047,
1999-04,0.042,
1999-05,0.042,
1999-06,0.047,
1999-07,0.045,
1999-08,0.045,
1999-09,0.045,
1999-10,0.048,
1999-11,0.048,
1999-12,0.048,
2000-01,0.048,
2000-02,0.048,
2000-03,0.050,
2000-04,0.052,
2000-05,0.065,
2000-06,0.047,
2000-07,0.065,
2000-08,0.047,
2000-09,0.047,
2000-10,0.047,
2000-11,0.050,
2000-12,0.054,
2001-01,0.022,
2001-02,0.028,
2001-03,0.022,
2001-04,0.022,
2001-05,0.022,
2001-06,0.030,
2001-07,0.027,
2001-08,0.022,
2001-09,0.102,
2001-10,0.105,
2001-11,0.094,
2001-12,0.094,
2002-01,0.094,
2002-02,0.094,
2002-03,0.094,
2002-04,0.094,
2002-05,0.094,
2002-06,0.094,
2002-07,0.097,
2002-08,0.095,
2002-09,0.095,
2002-10,0.095,
2002-11,0.095,
2002-12,0.093,
2003-01,0.093,
2003-02,0.093,
2003-03,0.089,
2003-04,0.089,
2003-05,0.089,
2003-06,0.089,
2003-07,0.089,
2003-08,0.089,
2003-09,0.089,
2003-10,0.089,
2003-11,0.091,
2003-12,0.086,
2004-01,0.086,
2004-02,0.086,
2004-03,0.091,
2004-04,0.091,
2004-05,0.091,
2004-06,0.091,
2004-07,0.091,
2004-08,0.093,
2004-09,0.078,
2004-10,0.078,
2004-11,0.078,
2004-12,0.076,
2005-01,0.076,
2005-02,0.076,
2005-03,0.078,
2005-04,0.078,
2005-05,0.068,
2005-06,0.068,
2005-07,0.068,
2005-08,0.068,
2005-09,0.068,
2005-10,0.065,
2005-11,0.065,
2005-12,0.065,
2006-01,0.065,
2006-02,0.065,
2006-03,0.065,
2006-04,0.068,
2006-05,0.068,
2006-06,0.068,
2006-07,0.068,
2006-08,0.068,
2006-09,0.068,
2006-10,0.066,
2006-11,0.066,
2006-12,0.063,
2007-01,0.063,
2007-02,0.063,
2007-03,0.063,
2007-04,0.063,
2007-05,0.063,
2007-06,0.063,
2007-07,0.063,
2007-08,0.063,
2007-09,0.063,
2007-10,0.053,
2007-11,0.053,
2007-12,0.053,
2008-01,0.053,
2008-02,0.053,
2008-03,0.053,
2008-04,0.053,
2008-05,0.053,
2008-06,0.053,
2008-07,0.057,
2008-08,0.057,
2008-09,0.057,
2008-10,0.057,
2008-11,0.057,
2008-12,0.057,
2009-01,0.057,
2009-02,0.057,
2009-03,0.057,
2009-04,0.054,
2009-05,0.054,
2009-06,0.071,
2009-07,0.067,
2009-08,0.067,
2009-09,0.067,
2009-10,0.067,
2009-11,0.067,
2009-12,0.067,
2010-01,0.067,
2010-02,0.067,
2010-03,0.077,
2010-04,0.077,
2010-05,0.077,
2010-06,0.077,
2010-07,0.077,
2010-08,0.077,
2010-09,0.077,
2010-10,0.082,
2010-11,0.082,
2010-12,0.082,
2011-01,0.082,
2011-02,0.102,
2011-03,0.102,
2011-04,0.097,
2011-05,0.097,
2011-06,0.102,
2011-07,0.094,
2011-08,0.099,
2011-09,0.099,
2011-10,0.098,
2011-11,0.101,
2011-12,0.096,
2012-01,0.096,
2012-02,0.094,
2012-03,0.101,
2012-04,0.101,
2012-05,0.101,
2012-06,0.100,
2012-07,0.101,
2012-08,0.101,
2012-09,0.101,
2012-10,0.095,
2012-11,0.095,
2012-12,0.096,
2013-01,0.096,
2013-02,0.096,
2013-03,0.086,
2013-04,0.098,
2013-05,0.101,
2013-06,0.100,
2013-07,0.100,
2013-08,0.101,
2013-09,0.101,
2013-10,0.096,
2013-11,0.097,
2013-12,0.104,
2014-01,0.108,
2014-02,0.103,
2014-03,0.107,
2014-04,0.107,
2014-05,0.107,
2014-06,0.107,
2014-07,0.142,
2014-08,0.137,
2014-09,0.134,
2014-10,0.138,
2014-11,0.139,
2014-12,0.133,Provisional value
