"",BBK01.TQ7015H,BBK01.TQ7015H_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - Central and Eastern Europe           FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:28,
2005-10,0.67,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,0.72,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,0.73,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,0.86,
2009-01,0.77,
2009-04,0.76,
2009-07,0.78,
2009-10,0.82,
2010-01,0.84,
2010-04,0.82,
2010-07,0.83,
2010-10,0.84,
2011-01,0.67,
2011-04,0.67,
2011-07,0.70,
2011-10,0.70,
2012-01,0.60,
2012-04,0.60,
2012-07,0.60,
2012-10,0.60,
2013-01,0.60,
2013-04,0.60,
2013-07,0.60,
2013-10,0.60,
2014-01,0.60,
2014-04,0.60,
2014-07,0.60,
