"",BBFN1.M.DE.N.1.A.KE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Kenya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:50,
1994-07,0.057,
1994-08,0.058,
1994-09,0.079,
1994-10,0.075,
1994-11,0.072,
1994-12,0.067,
1995-01,0.069,
1995-02,0.074,
1995-03,0.083,
1995-04,0.085,
1995-05,0.087,
1995-06,0.081,
1995-07,0.076,
1995-08,0.075,
1995-09,0.071,
1995-10,0.071,
1995-11,0.078,
1995-12,0.089,
1996-01,0.090,
1996-02,0.086,
1996-03,0.094,
1996-04,0.086,
1996-05,0.086,
1996-06,0.088,
1996-07,0.091,
1996-08,0.085,
1996-09,0.075,
1996-10,0.073,
1996-11,0.078,
1996-12,0.088,
1997-01,0.083,
1997-02,0.065,
1997-03,0.074,
1997-04,0.073,
1997-05,0.078,
1997-06,0.075,
1997-07,0.085,
1997-08,0.075,
1997-09,0.073,
1997-10,0.073,
1997-11,0.072,
1997-12,0.068,
1998-01,0.067,
1998-02,0.069,
1998-03,0.066,
1998-04,0.073,
1998-05,0.072,
1998-06,0.062,
1998-07,0.060,
1998-08,0.063,
1998-09,0.076,
1998-10,0.064,
1998-11,0.064,
1998-12,0.059,
1999-01,0.066,
1999-02,0.067,
1999-03,0.068,
1999-04,0.065,
1999-05,0.064,
1999-06,0.063,
1999-07,0.063,
1999-08,0.063,
1999-09,0.063,
1999-10,0.061,
1999-11,0.059,
1999-12,0.061,
2000-01,0.065,
2000-02,0.067,
2000-03,0.066,
2000-04,0.072,
2000-05,0.067,
2000-06,0.071,
2000-07,0.072,
2000-08,0.073,
2000-09,0.062,
2000-10,0.067,
2000-11,0.068,
2000-12,0.072,
2001-01,0.065,
2001-02,0.067,
2001-03,0.073,
2001-04,0.073,
2001-05,0.078,
2001-06,0.074,
2001-07,0.077,
2001-08,0.072,
2001-09,0.069,
2001-10,0.067,
2001-11,0.064,
2001-12,0.063,
2002-01,0.068,
2002-02,0.061,
2002-03,0.062,
2002-04,0.064,
2002-05,0.071,
2002-06,0.068,
2002-07,0.062,
2002-08,0.067,
2002-09,0.065,
2002-10,0.075,
2002-11,0.079,
2002-12,0.077,
2003-01,0.071,
2003-02,0.067,
2003-03,0.063,
2003-04,0.063,
2003-05,0.060,
2003-06,0.057,
2003-07,0.059,
2003-08,0.059,
2003-09,0.074,
2003-10,0.075,
2003-11,0.075,
2003-12,0.073,
2004-01,0.074,
2004-02,0.072,
2004-03,0.072,
2004-04,0.073,
2004-05,0.081,
2004-06,0.083,
2004-07,0.085,
2004-08,0.080,
2004-09,0.080,
2004-10,0.077,
2004-11,0.080,
2004-12,0.073,
2005-01,0.075,
2005-02,0.074,
2005-03,0.081,
2005-04,0.082,
2005-05,0.082,
2005-06,0.082,
2005-07,0.086,
2005-08,0.080,
2005-09,0.084,
2005-10,0.080,
2005-11,0.081,
2005-12,0.068,
2006-01,0.074,
2006-02,0.079,
2006-03,0.085,
2006-04,0.085,
2006-05,0.081,
2006-06,0.083,
2006-07,0.081,
2006-08,0.076,
2006-09,0.084,
2006-10,0.083,
2006-11,0.091,
2006-12,0.088,
2007-01,0.090,
2007-02,0.084,
2007-03,0.080,
2007-04,0.083,
2007-05,0.087,
2007-06,0.089,
2007-07,0.087,
2007-08,0.092,
2007-09,0.088,
2007-10,0.089,
2007-11,0.090,
2007-12,0.092,
2008-01,0.087,
2008-02,0.078,
2008-03,0.073,
2008-04,0.070,
2008-05,0.068,
2008-06,0.076,
2008-07,0.092,
2008-08,0.097,
2008-09,0.097,
2008-10,0.102,
2008-11,0.101,
2008-12,0.087,
2009-01,0.084,
2009-02,0.080,
2009-03,0.088,
2009-04,0.089,
2009-05,0.089,
2009-06,0.094,
2009-07,0.092,
2009-08,0.090,
2009-09,0.095,
2009-10,0.094,
2009-11,0.102,
2009-12,0.102,
2010-01,0.104,
2010-02,0.099,
2010-03,0.101,
2010-04,0.102,
2010-05,0.098,
2010-06,0.103,
2010-07,0.124,
2010-08,0.124,
2010-09,0.122,
2010-10,0.115,
2010-11,0.109,
2010-12,0.103,
2011-01,0.112,
2011-02,0.112,
2011-03,0.119,
2011-04,0.124,
2011-05,0.126,
2011-06,0.112,
2011-07,0.116,
2011-08,0.115,
2011-09,0.103,
2011-10,0.113,
2011-11,0.120,
2011-12,0.124,
2012-01,0.116,
2012-02,0.119,
2012-03,0.117,
2012-04,0.126,
2012-05,0.116,
2012-06,0.119,
2012-07,0.123,
2012-08,0.130,
2012-09,0.140,
2012-10,0.136,
2012-11,0.137,
2012-12,0.132,
2013-01,0.126,
2013-02,0.125,
2013-03,0.123,
2013-04,0.123,
2013-05,0.119,
2013-06,0.130,
2013-07,0.128,
2013-08,0.139,
2013-09,0.147,
2013-10,0.145,
2013-11,0.151,
2013-12,0.132,
2014-01,0.117,
2014-02,0.113,
2014-03,0.110,
2014-04,0.110,
2014-05,0.108,
2014-06,0.115,
2014-07,0.119,
2014-08,0.108,
2014-09,0.117,
2014-10,0.124,
2014-11,0.126,
2014-12,0.127,
