"",BBFN1.M.DE.N.1.L.MO.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MO.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:02,
1994-07,0.001,
1994-08,0.001,
1994-09,0.001,
1994-10,0.001,
1994-11,0.011,
1994-12,0.012,
1995-01,0.013,
1995-02,0.014,
1995-03,0.016,
1995-04,0.016,
1995-05,0.002,
1995-06,0.021,
1995-07,0.022,
1995-08,0.023,
1995-09,0.002,
1995-10,0.002,
1995-11,0.002,
1995-12,0.002,
1996-01,0.002,
1996-02,0.002,
1996-03,0.001,
1996-04,0.001,
1996-05,0.001,
1996-06,0.001,
1996-07,0.002,
1996-08,0.001,
1996-09,0.001,
1996-10,0.001,
1996-11,0.001,
1996-12,0.001,
1997-01,0.002,
1997-02,0.001,
1997-03,0.001,
1997-04,0.001,
1997-05,0.001,
1997-06,0.002,
1997-07,0.002,
1997-08,0.002,
1997-09,0.001,
1997-10,0.001,
1997-11,0.001,
1997-12,0.001,
1998-01,0.001,
1998-02,0.001,
1998-03,0.001,
1998-04,0.001,
1998-05,0.001,
1998-06,0.001,
1998-07,0.001,
1998-08,0.001,
1998-09,0.001,
1998-10,0.001,
1998-11,0.001,
1998-12,0.001,
1999-01,0.001,
1999-02,0.000,
1999-03,0.000,
1999-04,0.000,
1999-05,0.000,
1999-06,0.000,
1999-07,0.000,
1999-08,0.000,
1999-09,0.001,
1999-10,0.000,
1999-11,0.001,
1999-12,0.001,
2000-01,0.000,
2000-02,0.001,
2000-03,0.000,
2000-04,0.001,
2000-05,0.001,
2000-06,0.001,
2000-07,0.001,
2000-08,0.000,
2000-09,0.000,
2000-10,0.001,
2000-11,0.001,
2000-12,0.000,
2001-01,0.000,
2001-02,0.001,
2001-03,0.000,
2001-04,0.000,
2001-05,0.000,
2001-06,0.001,
2001-07,0.001,
2001-08,0.001,
2001-09,0.000,
2001-10,0.000,
2001-11,0.001,
2001-12,0.001,
2002-01,0.000,
2002-02,0.008,
2002-03,0.007,
2002-04,0.007,
2002-05,0.007,
2002-06,0.007,
2002-07,0.007,
2002-08,0.007,
2002-09,0.007,
2002-10,0.007,
2002-11,0.007,
2002-12,0.007,
2003-01,0.002,
2003-02,0.001,
2003-03,0.002,
2003-04,0.001,
2003-05,0.001,
2003-06,0.001,
2003-07,0.001,
2003-08,0.002,
2003-09,0.001,
2003-10,0.000,
2003-11,0.001,
2003-12,0.005,
2004-01,0.006,
2004-02,0.005,
2004-03,0.007,
2004-04,0.006,
2004-05,0.007,
2004-06,0.005,
2004-07,0.005,
2004-08,0.006,
2004-09,0.006,
2004-10,0.006,
2004-11,0.005,
2004-12,0.004,
2005-01,0.006,
2005-02,0.006,
2005-03,0.004,
2005-04,0.003,
2005-05,0.005,
2005-06,0.006,
2005-07,0.005,
2005-08,0.006,
2005-09,0.111,
2005-10,0.131,
2005-11,0.081,
2005-12,0.100,
2006-01,0.121,
2006-02,0.139,
2006-03,0.123,
2006-04,0.111,
2006-05,0.078,
2006-06,0.130,
2006-07,0.135,
2006-08,0.161,
2006-09,0.154,
2006-10,0.135,
2006-11,0.113,
2006-12,0.100,
2007-01,0.125,
2007-02,0.118,
2007-03,0.064,
2007-04,0.079,
2007-05,0.070,
2007-06,0.088,
2007-07,0.129,
2007-08,0.105,
2007-09,0.083,
2007-10,0.047,
2007-11,0.071,
2007-12,0.071,
2008-01,0.060,
2008-02,0.088,
2008-03,0.064,
2008-04,0.069,
2008-05,0.082,
2008-06,0.067,
2008-07,0.101,
2008-08,0.135,
2008-09,0.157,
2008-10,0.139,
2008-11,0.154,
2008-12,0.081,
2009-01,0.091,
2009-02,0.096,
2009-03,0.100,
2009-04,0.069,
2009-05,0.066,
2009-06,0.078,
2009-07,0.114,
2009-08,0.125,
2009-09,0.120,
2009-10,0.089,
2009-11,0.105,
2009-12,0.093,
2010-01,0.105,
2010-02,0.112,
2010-03,0.082,
2010-04,0.073,
2010-05,0.099,
2010-06,0.036,
2010-07,0.040,
2010-08,0.039,
2010-09,0.022,
2010-10,0.031,
2010-11,0.077,
2010-12,0.069,
2011-01,0.152,
2011-02,0.128,
2011-03,0.123,
2011-04,0.117,
2011-05,0.138,
2011-06,0.085,
2011-07,0.166,
2011-08,0.158,
2011-09,0.137,
2011-10,0.153,
2011-11,0.158,
2011-12,0.172,
2012-01,0.200,
2012-02,0.190,
2012-03,0.147,
2012-04,0.110,
2012-05,0.119,
2012-06,0.074,
2012-07,0.070,
2012-08,0.080,
2012-09,0.079,
2012-10,0.072,
2012-11,0.066,
2012-12,0.105,
2013-01,0.106,
2013-02,0.164,
2013-03,0.150,
2013-04,0.130,
2013-05,0.120,
2013-06,0.086,
2013-07,0.082,
2013-08,0.151,
2013-09,0.160,
2013-10,0.135,
2013-11,0.122,
2013-12,0.116,
2014-01,0.135,
2014-02,0.115,
2014-03,0.097,
2014-04,0.138,
2014-05,0.116,
2014-06,0.164,
2014-07,0.149,
2014-08,0.130,
2014-09,0.129,
2014-10,0.121,
2014-11,0.111,
2014-12,0.115,
