"",BBK01.OEHL03U,BBK01.OEHL03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:45,
2002-01,0.347,
2002-04,0.333,
2002-07,0.324,
2002-10,0.298,
2003-01,0.289,
2003-04,0.275,
2003-07,0.272,
2003-10,0.242,
2004-01,0.247,
2004-04,0.230,
2004-07,0.220,
2004-10,0.206,
2005-01,0.205,
2005-04,0.201,
2005-07,0.203,
2005-10,0.185,
2006-01,0.200,
2006-04,0.195,
2006-07,0.196,
2006-10,0.184,
2007-01,0.208,
2007-04,0.219,
2007-07,0.243,
2007-10,0.259,
2008-01,0.284,
2008-04,0.297,
2008-07,0.312,
2008-10,0.354,
2009-01,0.313,
2009-04,0.261,
2009-07,0.195,
2009-10,0.188,
2010-01,0.173,
2010-04,0.164,
2010-07,0.162,
2010-10,0.164,
2011-01,0.150,
2011-04,0.149,
2011-07,0.163,
2011-10,0.129,
2012-01,0.133,
2012-04,0.130,
2012-07,0.128,
2012-10,0.126,
2013-01,0.128,
2013-04,0.125,
2013-07,0.120,
2013-10,0.124,
2014-01,0.119,
2014-04,0.113,
2014-07,0.116,
