"",BBK01.OELL09S,BBK01.OELL09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:36,
2002-01,0.144,
2002-04,0.139,
2002-07,0.145,
2002-10,0.140,
2003-01,0.132,
2003-04,0.127,
2003-07,0.119,
2003-10,0.116,
2004-01,0.124,
2004-04,0.127,
2004-07,0.133,
2004-10,0.134,
2005-01,0.134,
2005-04,0.123,
2005-07,0.113,
2005-10,0.104,
2006-01,0.104,
2006-04,0.108,
2006-07,0.118,
2006-10,0.139,
2007-01,0.152,
2007-04,0.142,
2007-07,0.139,
2007-10,0.124,
2008-01,0.119,
2008-04,0.116,
2008-07,0.110,
2008-10,0.109,
2009-01,0.115,
2009-04,0.128,
2009-07,0.144,
2009-10,0.153,
2010-01,0.145,
2010-04,0.142,
2010-07,0.134,
2010-10,0.123,
2011-01,0.108,
2011-04,0.101,
2011-07,0.101,
2011-10,0.084,
2012-01,0.108,
2012-04,0.109,
2012-07,0.107,
2012-10,0.107,
2013-01,0.103,
2013-04,0.102,
2013-07,0.100,
2013-10,0.094,
2014-01,0.093,
2014-04,0.096,
2014-07,0.091,
