"",BBNZ1.Q.DE.Y.H.0111.A,BBNZ1.Q.DE.Y.H.0111.A_FLAGS
"",Germany / National accounts / Use of GDP / Imports of goods and services / Chain-linked index / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:53,
1991-01,40.68,
1991-04,41.04,
1991-07,41.35,
1991-10,41.39,
1992-01,42.85,
1992-04,41.71,
1992-07,41.70,
1992-10,42.20,
1993-01,38.79,
1993-04,39.12,
1993-07,39.77,
1993-10,39.77,
1994-01,40.54,
1994-04,42.36,
1994-07,43.39,
1994-10,44.14,
1995-01,44.40,
1995-04,45.73,
1995-07,46.21,
1995-10,46.50,
1996-01,46.70,
1996-04,47.00,
1996-07,47.51,
1996-10,49.23,
1997-01,50.60,
1997-04,51.14,
1997-07,52.79,
1997-10,53.39,
1998-01,55.53,
1998-04,56.74,
1998-07,57.19,
1998-10,56.92,
1999-01,59.46,
1999-04,61.11,
1999-07,62.67,
1999-10,62.62,
2000-01,64.95,
2000-04,66.93,
2000-07,69.15,
2000-10,72.70,
2001-01,70.09,
2001-04,70.12,
2001-07,68.67,
2001-10,68.03,
2002-01,65.68,
2002-04,67.30,
2002-07,67.70,
2002-10,69.28,
2003-01,70.94,
2003-04,70.30,
2003-07,70.89,
2003-10,73.16,
2004-01,74.34,
2004-04,75.87,
2004-07,77.47,
2004-10,77.79,
2005-01,76.35,
2005-04,80.06,
2005-07,81.99,
2005-10,85.50,
2006-01,87.70,
2006-04,88.96,
2006-07,90.59,
2006-10,93.82,
2007-01,94.90,
2007-04,95.16,
2007-07,97.05,
2007-10,97.42,
2008-01,98.63,
2008-04,97.60,
2008-07,99.17,
2008-10,96.16,
2009-01,90.37,
2009-04,85.72,
2009-07,88.89,
2009-10,88.83,
2010-01,94.38,
2010-04,100.87,
2010-07,100.61,
2010-10,102.69,
2011-01,105.24,
2011-04,107.50,
2011-07,107.37,
2011-10,107.41,
2012-01,107.58,
2012-04,107.23,
2012-07,107.06,
2012-10,107.28,
2013-01,108.62,
2013-04,109.99,
2013-07,111.84,
2013-10,112.64,
2014-01,112.36,
2014-04,113.72,
2014-07,115.24,
2014-10,116.43,
