"",BBK01.OEYB05U,BBK01.OEYB05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:51,
2002-01,3.651,
2002-04,3.678,
2002-07,3.711,
2002-10,3.762,
2003-01,3.717,
2003-04,3.721,
2003-07,3.686,
2003-10,3.667,
2004-01,3.652,
2004-04,3.126,
2004-07,3.275,
2004-10,3.281,
2005-01,3.279,
2005-04,3.256,
2005-07,3.234,
2005-10,3.249,
2006-01,3.258,
2006-04,3.208,
2006-07,3.223,
2006-10,3.225,
2007-01,3.235,
2007-04,3.234,
2007-07,3.225,
2007-10,3.240,
2008-01,3.239,
2008-04,3.242,
2008-07,3.237,
2008-10,3.350,
2009-01,3.254,
2009-04,3.305,
2009-07,3.345,
2009-10,3.311,
2010-01,3.345,
2010-04,3.245,
2010-07,3.220,
2010-10,3.147,
2011-01,3.148,
2011-04,3.203,
2011-07,3.183,
2011-10,3.138,
2012-01,3.192,
2012-04,3.157,
2012-07,3.188,
2012-10,3.171,
2013-01,3.556,
2013-04,3.706,
2013-07,3.701,
2013-10,3.706,
2014-01,3.927,
2014-04,4.033,
2014-07,3.860,
