"",BBK01.OELM02R,BBK01.OELM02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:36,
2002-01,0.011,
2002-04,0.012,
2002-07,0.013,
2002-10,0.012,
2003-01,0.010,
2003-04,0.010,
2003-07,0.010,
2003-10,0.012,
2004-01,0.011,
2004-04,0.014,
2004-07,0.013,
2004-10,0.013,
2005-01,0.011,
2005-04,0.009,
2005-07,0.012,
2005-10,0.013,
2006-01,0.012,
2006-04,0.015,
2006-07,0.014,
2006-10,0.013,
2007-01,0.013,
2007-04,0.011,
2007-07,0.015,
2007-10,0.014,
2008-01,0.012,
2008-04,0.014,
2008-07,0.020,
2008-10,0.021,
2009-01,0.017,
2009-04,0.019,
2009-07,0.019,
2009-10,0.026,
2010-01,0.028,
2010-04,0.024,
2010-07,0.024,
2010-10,0.027,
2011-01,0.021,
2011-04,0.019,
2011-07,0.018,
2011-10,0.019,
2012-01,0.027,
2012-04,0.024,
2012-07,0.020,
2012-10,0.021,
2013-01,0.019,
2013-04,0.022,
2013-07,0.028,
2013-10,0.032,
2014-01,0.028,
2014-04,0.029,
2014-07,0.028,
