"",BBK01.PQ2723,BBK01.PQ2723_FLAGS
"",Lending to craft trades / Medium-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:25:01,
1968-10,0.006,
1969-01,0.006,
1969-04,0.001,
1969-07,0.001,
1969-10,0.001,
1970-01,0.001,
1970-04,-,Nothing exists
1970-07,0.001,
1970-10,0.001,
1971-01,0.001,
1971-04,-,Nothing exists
1971-07,-,Nothing exists
1971-10,-,Nothing exists
1972-01,-,Nothing exists
1972-04,-,Nothing exists
1972-07,-,Nothing exists
1972-10,-,Nothing exists
1973-01,-,Nothing exists
1973-04,-,Nothing exists
1973-07,-,Nothing exists
1973-10,-,Nothing exists
1974-01,-,Nothing exists
1974-04,-,Nothing exists
1974-07,-,Nothing exists
1974-10,-,Nothing exists
1975-01,-,Nothing exists
1975-04,0.001,
1975-07,0.001,
1975-10,0.001,
1976-01,0.001,
1976-04,0.001,
1976-07,0.001,
1976-10,-,Nothing exists
1977-01,-,Nothing exists
1977-04,0.001,
1977-07,-,Nothing exists
1977-10,-,Nothing exists
1978-01,0.001,
1978-04,0.001,
1978-07,0.001,
1978-10,0.002,
1979-01,0.001,
1979-04,0.001,
1979-07,0.001,
1979-10,0.001,
1980-01,-,Nothing exists
1980-04,0.011,
1980-07,0.001,
1980-10,0.001,
1981-01,0.001,
1981-04,0.001,
1981-07,-,Nothing exists
1981-10,-,Nothing exists
1982-01,0.001,
1982-04,0.001,
1982-07,-,Nothing exists
1982-10,-,Nothing exists
1983-01,-,Nothing exists
1983-04,-,Nothing exists
1983-07,-,Nothing exists
1983-10,0.001,
1984-01,0.001,
1984-04,0.001,
1984-07,0.001,
1984-10,0.001,
1985-01,0.001,
1985-04,0.001,
1985-07,0.001,
1985-10,-,Nothing exists
1986-01,-,Nothing exists
1986-04,-,Nothing exists
1986-07,-,Nothing exists
1986-10,0.002,
1987-01,-,Nothing exists
1987-04,-,Nothing exists
1987-07,-,Nothing exists
1987-10,-,Nothing exists
1988-01,-,Nothing exists
1988-04,-,Nothing exists
1988-07,-,Nothing exists
1988-10,-,Nothing exists
1989-01,-,Nothing exists
1989-04,-,Nothing exists
1989-07,-,Nothing exists
1989-10,-,Nothing exists
1990-01,-,Nothing exists
1990-04,-,Nothing exists
1990-07,-,Nothing exists
1990-10,-,Nothing exists
1991-01,0.001,
1991-04,0.001,
1991-07,0.001,
1991-10,0.001,
1992-01,0.001,
1992-04,0.001,
1992-07,0.001,
1992-10,0.001,
1993-01,0.001,
1993-04,0.001,
1993-07,0.001,
1993-10,0.001,
1994-01,0.001,
1994-04,0.001,
1994-07,0.001,
1994-10,0.001,
1995-01,0.001,
1995-04,-,Nothing exists
1995-07,-,Nothing exists
1995-10,-,Nothing exists
1996-01,-,Nothing exists
1996-04,-,Nothing exists
1996-07,0.002,
1996-10,-,Nothing exists
1997-01,0.001,
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-,Nothing exists
1999-04,-,Nothing exists
1999-07,-,Nothing exists
1999-10,-,Nothing exists
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-,Nothing exists
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-,Nothing exists
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,0.008,
2003-07,0.007,
2003-10,0.007,
2004-01,0.007,
2004-04,0.007,
2004-07,0.007,
2004-10,0.008,
2005-01,0.007,
2005-04,0.005,
2005-07,0.007,
2005-10,0.004,
2006-01,0.003,
2006-04,0.003,
2006-07,0.003,
2006-10,0.002,
2007-01,0.004,
2007-04,0.004,
2007-07,0.005,
2007-10,0.004,
2008-01,0.004,
2008-04,0.004,
2008-07,0.004,
2008-10,0.006,
2009-01,0.012,
2009-04,0.013,
2009-07,0.014,
2009-10,0.011,
2010-01,0.010,
2010-04,0.017,
2010-07,0.002,
2010-10,0.012,
2011-01,0.014,
2011-04,0.016,
2011-07,0.018,
2011-10,0.017,
2012-01,0.026,
2012-04,0.023,
2012-07,0.010,
2012-10,0.010,
2013-01,0.011,
2013-04,0.022,
2013-07,0.017,
2013-10,0.020,
2014-01,0.042,
2014-04,0.052,
2014-07,0.052,
2014-10,0.054,
