"",BBK01.WU8556,BBK01.WU8556_FLAGS
"",Term structure of interest rates on Pfandbriefe (method by Svensson) / residual maturity of 3.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:48,
2000-01,5.08,
2000-02,5.04,
2000-03,5.04,
2000-04,5.42,
2000-05,5.46,
2000-06,5.55,
2000-07,5.63,
2000-08,5.60,
2000-09,5.50,
2000-10,5.43,
2000-11,5.06,
2000-12,4.83,
2001-01,4.82,
2001-02,4.69,
2001-03,4.73,
2001-04,4.85,
2001-05,4.72,
2001-06,4.69,
2001-07,4.49,
2001-08,4.26,
2001-09,3.96,
2001-10,3.88,
2001-11,4.21,
2001-12,4.37,
2002-01,4.50,
2002-02,4.73,
2002-03,4.77,
2002-04,4.75,
2002-05,4.63,
2002-06,4.42,
2002-07,4.13,
2002-08,3.83,
2002-09,3.70,
2002-10,3.73,
2002-11,3.53,
2002-12,3.28,
2003-01,3.03,
2003-02,3.04,
2003-03,3.20,
2003-04,2.88,
2003-05,2.61,
2003-06,2.85,
2003-07,3.22,
2003-08,3.20,
2003-09,3.22,
2003-10,3.43,
2003-11,3.38,
2003-12,3.18,
2004-01,3.20,
2004-02,2.92,
2004-03,2.81,
2004-04,3.17,
2004-05,3.21,
2004-06,3.38,
2004-07,3.31,
2004-08,3.09,
2004-09,3.12,
2004-10,2.96,
2004-11,2.88,
2004-12,2.96,
2005-01,2.84,
2005-02,2.95,
2005-03,2.95,
2005-04,2.68,
2005-05,2.60,
2005-06,2.43,
2005-07,2.58,
2005-08,2.56,
2005-09,2.70,
2005-10,2.98,
2005-11,3.12,
2005-12,3.12,
2006-01,3.31,
2006-02,3.39,
2006-03,3.66,
2006-04,3.80,
2006-05,3.72,
2006-06,3.94,
2006-07,3.86,
2006-08,3.87,
2006-09,3.85,
2006-10,3.95,
2006-11,3.92,
2006-12,3.99,
2007-01,4.23,
2007-02,4.10,
2007-03,4.23,
2007-04,4.38,
2007-05,4.61,
2007-06,4.72,
2007-07,4.65,
2007-08,4.52,
2007-09,4.54,
2007-10,4.45,
2007-11,4.39,
2007-12,4.58,
2008-01,4.03,
2008-02,3.92,
2008-03,4.20,
2008-04,4.49,
2008-05,4.85,
2008-06,5.20,
2008-07,5.04,
2008-08,4.81,
2008-09,4.79,
2008-10,4.03,
2008-11,3.53,
2008-12,3.24,
2009-01,3.11,
2009-02,3.04,
2009-03,2.93,
2009-04,2.94,
2009-05,2.88,
2009-06,2.84,
2009-07,2.71,
2009-08,2.53,
2009-09,2.43,
2009-10,2.53,
2009-11,2.39,
2009-12,2.45,
2010-01,2.37,
2010-02,2.06,
2010-03,2.05,
2010-04,1.94,
2010-05,1.78,
2010-06,1.76,
2010-07,1.91,
2010-08,1.60,
2010-09,1.78,
2010-10,2.00,
2010-11,2.06,
2010-12,2.14,
2011-01,2.54,
2011-02,2.62,
2011-03,2.87,
2011-04,2.87,
2011-05,2.61,
2011-06,2.58,
2011-07,2.35,
2011-08,1.94,
2011-09,1.91,
2011-10,1.95,
2011-11,1.99,
2011-12,1.72,
2012-01,1.56,
2012-02,1.49,
2012-03,1.47,
2012-04,1.34,
2012-05,1.19,
2012-06,1.22,
2012-07,0.93,
2012-08,0.79,
2012-09,0.77,
2012-10,0.78,
2012-11,0.71,
2012-12,0.64,
2013-01,0.98,
2013-02,0.72,
2013-03,0.73,
2013-04,0.61,
2013-05,0.71,
2013-06,0.91,
2013-07,0.85,
2013-08,0.98,
2013-09,0.89,
2013-10,0.84,
2013-11,0.71,
2013-12,0.84,
2014-01,0.73,
2014-02,0.67,
2014-03,0.69,
2014-04,0.68,
2014-05,0.55,
2014-06,0.48,
2014-07,0.49,
2014-08,0.40,
2014-09,0.34,
2014-10,0.34,
2014-11,0.31,
2014-12,0.27,
2015-01,0.23,
