"",BBK01.OEYB07U,BBK01.OEYB07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:52,
2002-01,0.075,
2002-04,0.123,
2002-07,0.135,
2002-10,0.142,
2003-01,0.122,
2003-04,0.132,
2003-07,0.122,
2003-10,0.111,
2004-01,0.128,
2004-04,0.091,
2004-07,0.125,
2004-10,0.137,
2005-01,0.151,
2005-04,0.150,
2005-07,0.156,
2005-10,0.158,
2006-01,0.151,
2006-04,0.129,
2006-07,0.134,
2006-10,0.135,
2007-01,0.129,
2007-04,0.070,
2007-07,0.067,
2007-10,0.054,
2008-01,0.058,
2008-04,0.047,
2008-07,0.041,
2008-10,0.044,
2009-01,0.027,
2009-04,0.053,
2009-07,0.048,
2009-10,0.065,
2010-01,0.062,
2010-04,0.072,
2010-07,0.039,
2010-10,0.040,
2011-01,0.043,
2011-04,0.044,
2011-07,0.055,
2011-10,0.053,
2012-01,0.047,
2012-04,0.040,
2012-07,0.031,
2012-10,0.032,
2013-01,0.042,
2013-04,0.050,
2013-07,0.052,
2013-10,0.069,
2014-01,0.064,
2014-04,0.084,
2014-07,0.051,
