"",BBK01.OECK03J,BBK01.OECK03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:51,
2002-01,0.060,
2002-04,0.058,
2002-07,0.061,
2002-10,0.060,
2003-01,0.057,
2003-04,0.050,
2003-07,0.042,
2003-10,0.038,
2004-01,0.036,
2004-04,0.033,
2004-07,0.035,
2004-10,0.034,
2005-01,0.035,
2005-04,0.032,
2005-07,0.032,
2005-10,0.032,
2006-01,0.035,
2006-04,0.036,
2006-07,0.036,
2006-10,0.055,
2007-01,0.054,
2007-04,0.078,
2007-07,0.081,
2007-10,0.091,
2008-01,0.098,
2008-04,0.080,
2008-07,0.097,
2008-10,0.132,
2009-01,0.103,
2009-04,0.090,
2009-07,0.080,
2009-10,0.066,
2010-01,0.058,
2010-04,0.055,
2010-07,0.069,
2010-10,0.055,
2011-01,0.047,
2011-04,0.050,
2011-07,0.056,
2011-10,0.022,
2012-01,0.038,
2012-04,0.023,
2012-07,0.016,
2012-10,0.003,
2013-01,0.001,
2013-04,0.001,
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,0.001,
2014-07,-,Nothing exists
