"",BBDL1.M.DE.N.VAC.VBA000.A0000.A00.D00.0.ABA.A,BBDL1.M.DE.N.VAC.VBA000.A0000.A00.D00.0.ABA.A_FLAGS
"","Reported vacancies, total / Germany / Total / Absolute value / Unadjusted figure",
unit,Anzahl (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:07,
1999-12,368675,
2000-01,388705,
2000-02,428471,
2000-03,445171,
2000-04,462908,
2000-05,481825,
2000-06,484199,
2000-07,482682,
2000-08,475158,
2000-09,469923,
2000-10,453988,
2000-11,434588,
2000-12,417609,
2001-01,426609,
2001-02,456001,
2001-03,467628,
2001-04,465506,
2001-05,461459,
2001-06,458692,
2001-07,449132,
2001-08,439922,
2001-09,429170,
2001-10,403314,
2001-11,369908,
2001-12,344604,
2002-01,359388,
2002-02,393768,
2002-03,411369,
2002-04,414346,
2002-05,412936,
2002-06,408031,
2002-07,392796,
2002-08,381388,
2002-09,361983,
2002-10,339005,
2002-11,310069,
2002-12,284349,
2003-01,285427,
2003-02,295221,
2003-03,298491,
2003-04,297731,
2003-05,282783,
2003-06,275572,
2003-07,276825,
2003-08,273422,
2003-09,254036,
2003-10,236690,
2003-11,220139,
2003-12,199037,
2004-01,197452,
2004-02,205632,
2004-03,205638,
2004-04,207798,
2004-05,214914,
2004-06,219726,
2004-07,220321,
2004-08,217993,
2004-09,211217,
2004-10,202235,
2004-11,190062,
2004-12,179391,
2005-01,190840,
2005-02,208619,
2005-03,226527,
2005-04,241425,
2005-05,257815,
2005-06,266694,
2005-07,283267,
2005-08,287425,
2005-09,292291,
2005-10,287157,
2005-11,271912,
2005-12,255127,
2006-01,259875,
2006-02,284718,
2006-03,305127,
2006-04,326840,
2006-05,353479,
2006-06,369046,
2006-07,392030,
2006-08,398954,
2006-09,401793,
2006-10,397951,
2006-11,387373,
2006-12,374269,
2007-01,374115,
2007-02,409468,
2007-03,429509,
2007-04,439929,
2007-05,445439,
2007-06,453724,
2007-07,455324,
2007-08,450146,
2007-09,436399,
2007-10,420564,
2007-11,397569,
2007-12,369088,
2008-01,351628,
2008-02,376477,
2008-03,392657,
2008-04,395069,
2008-05,398188,
2008-06,417953,
2008-07,422535,
2008-08,417052,
2008-09,409264,
2008-10,392934,
2008-11,367219,
2008-12,327594,
2009-01,301715,
2009-02,317677,
2009-03,317273,
2009-04,305622,
2009-05,298793,
2009-06,297143,
2009-07,297881,
2009-08,300159,
2009-09,301942,
2009-10,297630,
2009-11,290595,
2009-12,281258,
2010-01,271401,
2010-02,297979,
2010-03,320129,
2010-04,335167,
2010-05,355703,
2010-06,370431,
2010-07,391102,
2010-08,396706,
2010-09,397973,
2010-10,400938,
2010-11,394515,
2010-12,380140,
2011-01,375023,
2011-02,417513,
2011-03,442333,
2011-04,461130,
2011-05,470093,
2011-06,479528,
2011-07,492291,
2011-08,497140,
2011-09,501571,
2011-10,499839,
2011-11,491948,
2011-12,467051,
2012-01,451918,
2012-02,473175,
2012-03,490903,
2012-04,499001,
2012-05,499217,
2012-06,499167,
2012-07,499847,
2012-08,493380,
2012-09,484507,
2012-10,468074,
2012-11,450605,
2012-12,420537,
2013-01,420012,
2013-02,448442,
2013-03,462660,
2013-04,460197,
2013-05,457010,
2013-06,458732,
2013-07,468686,
2013-08,470938,
2013-09,472550,
2013-10,466033,
2013-11,457996,
2013-12,440443,
2014-01,425198,
2014-02,456229,
2014-03,475714,
2014-04,485334,
2014-05,481436,
2014-06,494628,
2014-07,501968,
2014-08,515092,
2014-09,518317,
2014-10,517432,
2014-11,514599,
2014-12,497768,
2015-01,485172,
2015-02,518890,
"",Source: Federal Employment Agency.,
"","Methodology: Up to and including December 2004 month-end figures, as of January 2005 mid-month figures. Reported vacancies excluding promoted jobs and seasonal employment.",
