"",BBK01.CEFQ02,BBK01.CEFQ02_FLAGS
"",short-term time deposits                                 debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:56,
1999-01,489.1,
1999-04,482.7,
1999-07,512.2,
1999-10,529.2,
2000-01,507.8,
2000-04,480.7,
2000-07,501.8,
2000-10,585.9,
2001-01,568.3,
2001-04,546.5,
2001-07,573.7,
2001-10,620.9,
2002-01,575.1,
2002-04,595.7,
2002-07,640.0,
2002-10,721.5,
2003-01,728.5,
2003-04,789.8,
2003-07,742.5,
2003-10,800.3,
2004-01,771.9,
2004-04,856.2,
2004-07,847.9,
2004-10,969.9,
2005-01,943.8,
2005-04,969.8,
2005-07,1008.4,
2005-10,1020.3,
2006-01,1067.1,
2006-04,1108.9,
2006-07,1072.7,
2006-10,1109.3,
2007-01,1136.1,
2007-04,1144.6,
2007-07,1192.5,
2007-10,1337.8,
2008-01,1261.1,
2008-04,1251.1,
2008-07,1349.5,
2008-10,1362.2,
2009-01,1191.7,
2009-04,1202.9,
2009-07,1052.9,
2009-10,1092.4,
2010-01,1019.3,
2010-04,1086.3,
2010-07,920.0,
2010-10,880.7,
2011-01,800.5,
2011-04,804.1,
2011-07,862.8,
2011-10,868.7,
2012-01,818.4,
2012-04,811.2,
2012-07,786.2,
2012-10,710.2,
2013-01,747.0,
2013-04,764.7,
2013-07,690.4,
2013-10,730.3,
2014-01,764.9,
2014-04,795.0,
2014-07,761.7,
