"",BBK01.OEYO06O,BBK01.OEYO06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:42,
2002-01,0.012,
2002-04,0.012,
2002-07,0.011,
2002-10,0.009,
2003-01,0.009,
2003-04,0.009,
2003-07,0.008,
2003-10,0.009,
2004-01,0.008,
2004-04,0.008,
2004-07,0.008,
2004-10,0.008,
2005-01,0.007,
2005-04,0.007,
2005-07,0.007,
2005-10,0.007,
2006-01,0.006,
2006-04,0.006,
2006-07,0.006,
2006-10,0.006,
2007-01,0.005,
2007-04,0.005,
2007-07,0.005,
2007-10,0.005,
2008-01,0.005,
2008-04,0.004,
2008-07,0.004,
2008-10,0.003,
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,0.014,
2010-01,0.014,
2010-04,0.018,
2010-07,0.019,
2010-10,0.017,
2011-01,0.029,
2011-04,0.052,
2011-07,0.044,
2011-10,0.048,
2012-01,0.086,
2012-04,0.102,
2012-07,0.104,
2012-10,0.090,
2013-01,0.128,
2013-04,0.178,
2013-07,0.214,
2013-10,0.169,
2014-01,0.175,
2014-04,0.185,
2014-07,0.197,
